author,updated_at,like_count,text,public
@Luisa-qi4jg,2024-04-28T02:02:29Z,1,"Worst movie ever, really, don't watch. 3 hours...",True
@np3455,2024-04-18T19:20:10Z,0,Feels like diving into Orhan Pamuk's imagination,True
@sdeepak2753,2024-04-12T08:00:26Z,0,Any one watching from India😍,True
@lunaaksoy,2024-04-11T15:48:57Z,0,"Nature or nurture?? Nurture all* kids(!)
*Mandatory😔",True
@nathanfreeman7362,2024-04-04T18:51:20Z,2,Looks beautiful while being full of sad people lol,True
@echolot,2024-03-29T10:40:09Z,1,"music towards the end sounds like a slowed down version of the ""fargo"" main theme",True
@juliepeterson6639,2024-03-26T01:40:07Z,0,Wow!,True
@meld6728,2024-03-21T15:34:50Z,3,"Hey, millet neyi desteklediginizi iyice bir dusunun, subyanciligin edebiyati olmaz.",True
@mfatih9032,2024-03-13T08:07:01Z,3,Boring,True
@rameshdevasi6720,2024-03-07T14:32:15Z,2,ceylan is almost a mystic,True
@M.Bayraktar,2024-03-05T04:02:30Z,0,Harikaydı👌,True
@siri_8888,2024-03-03T13:43:28Z,0,masterpiece!! i loved it,True
@wawlik258,2024-02-09T12:25:39Z,0,Самые слабый его фильм. Стареет Джейлан.,True
@mtnshelby7059,2024-02-04T12:04:18Z,2,Wow. Hopefully it will stream soon.,True
@MyRealityturnedScienceFiction,2024-01-30T21:03:42Z,1,Ceylan the Phenomenon,True
@haydenwalton2766,2024-01-25T09:22:31Z,35,ceylan's made another film. the world just got a little better,True
@yaxl,2024-01-25T04:41:16Z,3,Can we have an NBC boxset including his early works not available outside Turkiye,True
@Mesut7,2024-01-10T19:33:21Z,0,Konusu ne anlamadim,True
@gairickdam18,2024-01-10T04:52:22Z,3,Please upload the full movie,True
@lohit8982,2023-12-08T17:27:14Z,2,streaming when?,True
@cinefile0075,2023-11-30T14:41:44Z,20,The legend strikes again,True
@HuskyProductions585,2023-11-28T22:22:09Z,9,Bluray please,True
@shiven513,2023-11-28T17:35:32Z,36,I dare Ceylan to make a bad movie.,True
