author,updated_at,like_count,text,public
@bharataadeez136,2024-05-24T06:43:31Z,0,Boringggggggggggggg,True
@ansamantha7307,2024-05-09T09:54:45Z,0,"Everything in this film was fantastic, at some point i felt I was watching a documentary, everyone was so real! And Sandra should get all the acting awards known to man for this!",True
@amandabertolaso7917,2024-04-26T23:59:02Z,0,What a load of bollox...,True
@rizkarinaangrenani2566,2024-04-24T02:05:44Z,0,"Just watched this movie! It was so great and very well done, I needed to decompress my mind.",True
@Jegscerteza,2024-04-22T14:59:56Z,0,Film language in English?,True
@renada432,2024-04-20T02:23:15Z,0,"Maybe she did not kill him , but I believe she made him kill himself",True
@TomRipley7350,2024-04-14T19:49:45Z,0,The biggest mystery about this film is how anyone could listen to that PIMP song for pleasure.,True
@GodwinBaxter,2024-04-13T15:18:52Z,0,One of my favorite movies of last year.,True
@alexandergrant4702,2024-04-11T07:09:45Z,0,The worst music (noise) in cinema history. Inexplicable really. Stopped watching on eleven minutes.,True
@AdventureTime101,2024-04-10T22:48:08Z,0,pile of shit dont bother watching,True
@axsstudio6407,2024-04-07T01:55:15Z,0,Boo. 0 stars. Great acting but a disappointing ending. A whodunnit that doesn’t reveal whodunnit. WTF people?,True
@jasonsharpe7419,2024-04-07T01:49:43Z,0,Boo. Great acting but disappointing ending. A whodunnit that doesn’t reveal whodunnit,True
@jasonsharpe7419,2024-04-07T01:49:08Z,0,Boo. Great acting but disappointing ending. A whodunnit that doesn’t reveal whodunnit,True
@mohankumar-is6co,2024-04-04T08:59:05Z,0,Extraordinary trailer  ❤❤,True
@Thepomafame,2024-04-01T22:31:01Z,0,"Let’s be honest, every single girl is thirsty for Swann Arlaud, the actor who plays the lawyer, thanks for this movie so we got to know this brilliant actor.",True
@qwargy,2024-03-31T03:58:52Z,0,I was tricked into watching this. By the time it ended I felt like I’d wasted 2 and a half hours of my life. Total shite!,True
@srilankabest1287,2024-03-28T21:41:10Z,0,I told my friends that this is a very interesting movie. At last they left our house joking that our precious time was wasted and scolding everyone who made the film.😑,True
@e.oliveirasouza4669,2024-03-26T01:05:50Z,1,Boring,True
@marvinomarmenjivaralvarez2086,2024-03-25T13:01:13Z,0,What a year for Sandra Huller! Impressive performance and such a good film.,True
@Kelly-rs8ut,2024-03-25T02:03:19Z,0,What a waste of time.,True
@randywhite3947,2024-03-24T12:41:52Z,0,8:41 am march 24th 2024,True
@randywhite3947,2024-03-24T12:41:23Z,0,I’m about to watch this movie for the first time,True
@wallace7858,2024-03-23T22:07:12Z,0,guys is the movie good should i watch it,True
@RN-pg3ns,2024-03-21T15:21:37Z,0,Is this dubbed or are they actually speaking English? I’m confused 😅,True
@miralemhusanovic2992,2024-03-20T22:34:38Z,1,Fuj - dont waste your time ! -1/10,True
@sawdahello8352,2024-03-20T18:14:40Z,1,This film really made me think about our relationship with language,True
@markan032,2024-03-18T21:14:55Z,0,"Има занимљиву причу што се тиче судског процеса, као и психологије личности.",True
@C1oaked,2024-03-16T14:26:31Z,1,1:25 Adept?,True
@gavriela509,2024-03-16T14:21:30Z,0,So... She did it or not?,True
@_what._.,2024-03-16T00:39:49Z,1,Such a masterpiece!! Congratulations to Justine Triet for this well-deserved Oscar !! 👏👏❤️,True
@yabrgon,2024-03-13T21:55:27Z,5,THANKS for the trailer i just watched the whole movie.,True
@keepgoing7533,2024-03-13T18:00:50Z,0,"I'm at the point where the wife and the lawyer are having a drink after the hearing outside her house at night, and
I think he's a daschund/head.",True
@applemayteves,2024-03-13T13:32:52Z,0,I like to watch this but I don't know where. huhu,True
