author,updated_at,like_count,text,public
@a.champagne6238,2024-05-29T22:25:03Z,0,"Aki Kaurismaki, Jim Jarmusch, and Elia Suleiman all have a similar style but has anyone ever given a name for it? There has to be.",True
@user-bw8ls9hd5x,2024-05-10T22:57:57Z,0,THANK YOU ALL WAS GREAT,True
@viz8746,2024-04-09T04:34:41Z,2,Movies like these are worth watching when you want to get away from the predictable and formulaic American trash.,True
@fdl238,2024-03-31T15:25:21Z,1,I love how everyone acts like they're on the spectrum,True
@graczkomputerowy,2024-02-15T18:45:15Z,0,Today we watched it at the cinema in Poland :) Thank you Aki :) Perfect movie for Valentine's Day :),True
@stephenchan6145,2024-02-09T21:28:05Z,1,Love it !,True
@dnipro6427,2024-02-03T20:47:35Z,1,"Kun sankaritar käynnistää radion uutisissa, onko se todella uutinen Ukrainan sodasta?",True
@kinocchio,2024-02-02T23:04:45Z,2,Finland,True
@joy.panyalai,2024-01-27T12:50:50Z,1,is that Danny D?,True
@vasilisneorun1700,2024-01-17T20:01:57Z,1,A movie like fresh air !!,True
@tresorberlin3207,2024-01-17T03:30:08Z,1,En ole nähnyt yhtäkään Akin elokuvaa mutta pidän suuresti hänen elokuvista.,True
@teresaspena1174,2024-01-13T18:03:13Z,22,There so much sadness and still the willingness to love and be loved. Beautiful movie ❤,True
@chreynest,2024-01-13T04:39:37Z,4,"Me and Claire just saw it at an independent cinema (she'd actually seen it before) and were certainly pleased, it keeps an underlying level of droll humor, in the face of depressing and conflicting sensibilities or circumstances",True
@musliminfinalnd8688,2024-01-11T03:44:21Z,1,This makes me feel nostalgic,True
@mudman189,2024-01-06T14:58:30Z,1,"In my Finnish courses when I just got Finland about 15 years ago , teacher showed us several his films. I was thinking these movies sucks",True
@nmp290765,2024-01-05T22:37:26Z,3,Can’t wait to see this. I love this guy’s movies,True
@DCI-Frank-Burnside,2024-01-02T01:02:07Z,12,The California Pub on Finland's dreariest greyest block had me falling off my seat laughing.,True
@user-nv4ju9rw5s,2023-12-27T10:47:58Z,1,"ma il regista, per il cane adottato da Ansa, si è in qualche modo ispirato a SammyDavis jr jr di ""Everything is illuminated""?",True
@mrbissonet,2023-12-24T22:07:23Z,5,Best movie I have seen in years. Try to see it in an actual cinema if you can. So good...,True
@fs3579,2023-12-23T00:25:27Z,0,Nothing new here. Lots of ripoff shots.,True
@alanvarghese7326,2023-12-14T17:36:17Z,1,Kaurismaki legenf,True
@juanadrianarquinegogomez3610,2023-12-14T01:38:45Z,1,whats the name of the last song,True
@valeriamedina94,2023-12-12T01:22:13Z,39,i went to watch it with a friend and we were pleasantly surprised to find out how funny and clever the film is. Great film.,True
@kelvynification,2023-12-11T07:50:44Z,13,"If you had no idea who made the film you would still know after a few moments it’s an Aki:) There are only a handful of directors can say that. Can’t wait to see it, it’s been too long.",True
@salmanmazumder6148,2023-12-05T19:09:34Z,1,I so want a download link to this movie. It's so difficult to find one.,True
