author,updated_at,like_count,text,public
@viviananido5053,2024-05-27T08:35:56Z,1,Poor Japan,True
@TexasTimeLord,2024-05-19T21:37:35Z,2,The ending made would have made my girlfriend cry. If I had one.,True
@ruimatos46,2024-05-17T09:04:17Z,3,"What a great movie! Men being men, honour, courage, love, family, women being women... Damn.",True
@godzilloid,2024-05-16T19:07:32Z,2,Not a hero or protector. Pure rage and Hellfire,True
@jambutty4530,2024-05-16T14:11:35Z,0,Who keeps making these stupid films? So cringy and stupid 😂 the world's going to sh*t but here you go people a pointless film.,True
@RicardoPinaRicky,2024-05-16T13:14:23Z,0,Damn this was worse than bad.,True
@teresya1586,2024-05-16T04:32:50Z,4,Finally !!! the best Godzilla movie ever made. 🔥☄️,True
@dydxeq0,2024-05-14T00:12:15Z,3,"I swear I wasn't crying during the movie, someone was cutting an onion....",True
@kennethwilliam8319,2024-05-13T21:11:34Z,5,FINALLY saw this film.  Absolutely fantastic!,True
@PetroDeineka,2024-05-13T14:31:47Z,1,Why not 4K ???,True
@alexismaldonado2997,2024-05-13T03:04:58Z,3,godzilla in his prime,True
@thelonewolfajx3641,2024-05-10T13:36:23Z,3,The best line from this trailer is that monster will never forgive us,True
@LORD.OFVOID,2024-05-10T09:59:30Z,0,That and cinema,True
@krushnakambli2464,2024-05-10T03:13:56Z,3,"""Tatakae""",True
@elirchi9214,2024-05-09T02:32:39Z,3,"The first trailer makes us think that the nuke on Ginza was an effort to kill Godzilla. But when we watch the entire thing, we find out it was *Godzilla himself* that triggered a massive explosion, fireball, shockwave, tar rain, you know it, all from a 50 meter tall lizard's mouth.",True
@johnslugger,2024-05-08T23:58:19Z,0,"*it must be a Japanese thing,,,,*",True
@franklinowen3074,2024-05-08T09:01:49Z,0,"Goojiraaa mayonnaise wan 😂
Gets me everytime",True
@amoghtare3780,2024-05-08T06:29:21Z,2,Please make it release in india 🙏,True
@pepedeltoro6647,2024-05-07T13:36:35Z,7,This movie is good because extremely woke Hollywood haven't touched it.,True
@Accur8_gaming,2024-05-07T06:37:29Z,1,"Godzilla better as a villian  > 
These guys have ruined it making a multiverse.",True
@francisseguna3004,2024-05-06T16:42:53Z,2,I want that movie right now its amazing.!,True
@hodaka786,2024-05-06T15:45:53Z,2,"Just watched the movie, What a movie it is. 10/10 and recommended to every Godzilla movie lovers.",True
@michaelfairclough6039,2024-05-06T15:36:43Z,0,Enjoyable movie. Id seen all the best bits with the spoilers. Worth a watch but I wouldn't buy.,True
@babylulu9475,2024-05-06T09:42:10Z,0,where’s Ultraman when we need one,True
@azibibasri3471,2024-05-06T08:22:24Z,0,it is r-35 minus one,True
@Rayofhope012,2024-05-06T07:00:43Z,0,This one right here is the real MONSTER. Hopefully this monster will become hero in the next series! The ending gives vivid clue.,True
@arpitshivhare217,2024-05-06T06:50:12Z,3,Nice movie 🍿🎥. Better than that Godzilla vs Kong sheet and the ending was so good 😁♥️.,True
@Marielos002,2024-05-06T02:47:58Z,1,Where can I watch it?,True
@wiyball,2024-05-06T02:03:33Z,0,“Godzhilla minus one”  I’m in.,True
@mikeevans6344,2024-05-05T19:48:36Z,1,"That scene where Godzilla spit the atomic death ray, was basically a metaphor of the atomic bomb impact. imagine people back then seeing that and thousands of civilians evaporated in a blink of an eye, I can imagine the rage, fear and sorrow of people at that time.",True
@RobertoSu,2024-05-05T15:54:38Z,4,"Just saw the movie, it left me speechless and in tears, Hollywood can suck it, this is how you make a Godzilla movie. Much thanks to the amazing team that created this masterpiece that will be spoken about for years to come.",True
@boogeykanguva,2024-05-05T11:50:40Z,2,Whene here india release date😍😍😍😍plz tell me.. I waiting here😁😁😍😍😍,True
@jackmaras4247,2024-05-04T20:27:22Z,0,"The movie sucks just for one reason .....through the whole movie, all the actors are screaming talking from the begining to the end . It's irritating. Some very good sceens and thats it. I am a Godzilla fan all my life",True
@JohnnyWebb-bz7io,2024-05-04T19:24:11Z,3,I like how that the creators keep the old vision imagery,True
@user-vm1im1jc6j,2024-05-04T14:30:20Z,1,Godzilla ❌  Gojira ✅,True
@fzcbh4698,2024-05-04T07:24:42Z,0,"I finished watch yesterday, I was over hype to watch it but in the end I found it mediocre and 2014 is better as Kong vs Godzilla, I believe all the praises on it just because the movie production ables to do Hollywood visual effect with very low budget and it is just 11 Millions $ unlike the American Godzilla films that cost around 140 millions $ to 200 millions.",True
@savagestan2543,2024-05-04T06:29:49Z,2,"Just finished watching it. This movie was surprisingly GREAT! Is it just me, or should this movie actually be called ""Godzilla 1.0 (one point O)""?? According to IMDB the original name was ""Gojira-1.0""",True
@Dale-TND,2024-05-03T20:32:30Z,0,"aHH i SEE THE LITTLE chinese man who bought my old pentium 2 has put it to use to make this,, G.00k bird a right spinner though",True
@lordemperorwu1,2024-05-03T12:44:21Z,0,"Hah! That's what happens when you put wastewater in his home, blow up his friends and food with abomb tests and disturb his sleep with stupid war games. 😂😂😂 And then you even call him an evil monster. Don't push it! We are so done when Godzilla calls his mom for help...",True
@avia4281,2024-05-03T11:43:27Z,0,This shit is trash. Lots of paid shills on here.,True
@lohti6399,2024-05-03T03:57:45Z,0,The ancestor before Godzilla .. wow,True
@Gunolingo,2024-05-03T03:22:45Z,0,The next shin gojira,True
@TalonsOfFire,2024-05-03T01:18:22Z,0,"Finally watched, was easily my favorite Godzilla movie. Maybe even my favorite kaiju, though Pacific Rim is up there too.",True
@0oTornado,2024-05-03T00:38:21Z,1,"Hopefully Godzilla U.S version 2014 can learn at least the basic how real Godzilla Japanese movie is done. 

Pure action, no teenagers love drama 

, Real sacrifice, very realistic life for both men and women.",True
@AKsprintz,2024-05-02T21:37:26Z,0,Is there subtitles?,True
@user-wp3er2hm9c,2024-05-02T10:09:34Z,0,"Bugun izledim
Japon kardeslere selamlar
Çok guzel olmus
Istanbuldan selamlar❤",True
@Savu130,2024-05-02T08:57:58Z,2,മലയാളികൾ...ഉണ്ടോടെ 😢,True
@arawindasunimal391,2024-05-02T03:24:07Z,1,Best Movie ❤❤❤❤,True
@mohamedluraif9242,2024-05-01T17:55:33Z,3,One of the best godzilla movie😍,True
@devensonawane2128,2024-04-30T15:24:49Z,0,Rip for those who didn’t experience this masterpiece on big screen 🔥,True
@kevinjimenez4661,2024-04-26T16:31:14Z,0,Bazofia puta mierda de película que falso todo por favor . Como la de 2014 . Tiempo perdido en verla 🤮🤮🤢🤢,True
@d_franco4702,2024-04-25T02:43:28Z,4,Best Godzilla movie for me.,True
@AzuraTheSquidShork,2024-04-24T17:18:53Z,1,i kinda think if they have a second movie it might be called godzilla 0 right?,True
@Myb34r,2024-04-20T05:40:42Z,1,How does she know what a Godzilla is?,True
@derrick_smitty,2024-04-19T05:57:25Z,1,This is the first movie I have ever heard of that gets pulled from the theaters when there is extreme demand to see it.,True
@blackhouse55,2024-04-18T05:15:04Z,0,"American godzilla is about godzilla
Japanese godzilla is about life",True
@o07chexican46,2024-04-18T00:27:25Z,0,I want to see this soo bad but can't find it anywhere,True
@wellthen.......9384,2024-04-15T07:53:23Z,0,"I am sad that there's no way to watch this movie again right now.
It's not in any theater in the United States. Or you're up right now. It is only being played in. Japan and I'm lucky I got to see a showing in theaters in the Us I can't wait for them to get done with the licensing arguments so that this can finally come out to home release and i can watch this in 4k and just be Stunned by the music score again",True
@danwalker8341,2024-04-15T07:39:15Z,0,answer to that broad's question NO IT'S ULTRAMAN OF COURSE IT'S GODZILLA YOU DUMB BELL lol,True
@asefaqtab3293,2024-04-14T09:13:09Z,0,Can anyone tell me how I could watch this movie from Bangladesh?,True
@johpoh9527,2024-04-13T23:11:10Z,0,İşte gerçek Godzilla filmi budur.. 👍,True
@Caes3r_,2024-04-13T11:54:36Z,2,great movie a shame it wasn't in many theatres,True
@tacibana88,2024-04-13T10:41:40Z,0,Hopefully this will release at asia..seems really good..dang it😅😅😅,True
@norkamariahmdbaharin3727,2024-04-12T19:31:15Z,0,i want minami hamabe and yuki yamada making flim together,True
@user-ku2um1oh3r,2024-04-09T21:07:38Z,1,This movie here I have not seen yet wish I could watch on YouTube movies free 😊😊😊😊,True
@L_e_o_sakthi,2024-04-08T10:48:36Z,2,Godzilla minus one movie release India Tamil language please,True
@ankanghosh5272,2024-04-08T00:05:15Z,1,People forgot Godzilla was never meant to be a hero who fights with a machine or big ape ....he was made to show the horror of world war.,True
@optimal_charity0.91,2024-04-06T16:14:31Z,1,Everybody loves Godzilla 😌💯👑,True
@koizyboi5084,2024-04-06T10:24:44Z,1,am i the only one who keeps rewatching the trailers because it’s the closest thing we have to the movie right now?,True
@chaporuiz10,2024-04-06T07:48:01Z,0,Got to see this movie when it released on theaters and I saw this alone as I was waiting in line to watch this movie these two guys ahead of me were also interested in buying a ticket to watch Godzilla them thinking it had English translation not knowing it’s only playing in Japanese language the box office guy mentioned it to the guys ahead of me and they were not willing to go through watching that movie for that very reason it confused me and I really enjoyed the movie for what it was some people need to appreciate entertainment outside of their comfort zone sometimes and just try to invest into a movie like this!,True
@ogxpriyanshuYT,2024-04-04T17:49:09Z,0,How can I watch it  in English language,True
@captainameerka9498,2024-04-03T18:12:41Z,1,Only mammutty can kill Godzilla,True
@mikelopez5217,2024-04-02T04:54:56Z,1,Much better then the king one,True
@user-cq8rw2gw9s,2024-04-01T19:06:59Z,1,This is the ULTIMATE RECAP,True
@RUGER5264,2024-04-01T10:27:27Z,2,This movie has the best ratings I’ve seen in a for a movie in a while.,True
@gaungagung7074,2024-04-01T07:03:24Z,1,This film was inspired by the fall of the atomic bombs on Hiroshima and Nagasaki,True
@PauloSilva-pp1sc,2024-03-30T14:25:53Z,1,😮😮😮😮😮😊,True
@largestudent198,2024-03-30T06:44:05Z,0,いいぞいいぞ、怒れ怒れ!,True
@asuas3115,2024-03-29T19:59:03Z,1,Way better than the generic American trailer! Hopefully the movies as good,True
@NyongVIRAL87,2024-03-29T08:36:12Z,1,Godzila maines wang👍👍👍👍👍,True
@3434samir,2024-03-29T05:08:06Z,0,In real life its usa's nuclear bomb 🤫🤫,True
@Jim222001,2024-03-27T02:53:56Z,0,Put it on Digital to own already.,True
@Corrieography,2024-03-26T22:31:14Z,2,"Man, are they gatekeeping this digital release? I wanna see this so damn bad already, I live in Oceania. No movie theaters in my country.",True
@no41jupiter,2024-03-25T15:38:02Z,2,'' SURVIVE AND RESIST '' is right i bet .,True
@lblepus,2024-03-23T21:20:23Z,2,DVD/streaming???!!!,True
@RichieOooo,2024-03-22T20:32:45Z,3,Can’t find it anywhere. Want to watch 😩,True
@PeiceofNick,2024-03-22T00:55:20Z,3,This moive defently earned it's Oscar for sure,True
@roughseasskillfullsailor,2024-03-21T09:46:07Z,1,"Please please, make this available on paid streaming!!!",True
@cubirk,2024-03-19T21:04:32Z,0,Please tell me jet jaguar is going to me in the next one,True
@radhikasaffar9134,2024-03-19T15:30:57Z,2,"So different than Hollywood mann!!❤,
I'll definitely watch it 🔜",True
@violetjacobs1989,2024-03-19T11:50:58Z,4,Only Japan know how to make Godzilla movie. Brilliant 👏👏👏,True
@cappymons8191,2024-03-18T12:29:58Z,0,Godzilla acting as Karma for all the warcrimes the Japanese committed,True
@mimiyo299,2024-03-17T14:08:39Z,1,I hope tel aviv looks like this,True
@erickmarquez506,2024-03-16T16:42:06Z,3,"If you think about it, the movie that portrays post-WWII Japan as a broken, sick, dangerous, and sad place, made with 15 million dollars, is truly a masterpiece that represents the human spirit. Facing the worst odds",True
@wareeshaali1424,2024-03-16T08:07:41Z,1,"Long live the king
🥲😮",True
@primarytrainer1,2024-03-15T01:50:40Z,10,"put it back in theaters, no one wants kong x gozilla, we only want gozilla minus one",True
@ferdousazad,2024-03-14T12:43:35Z,3,"hollywood just ruined godzilla. this seems good, so good that it won oscar",True
@shahargold23,2024-03-14T05:57:31Z,0,hi i want to see this movie will it come to cinema or streaming prime or apple tv or hbo or lulu or Netflix please update me,True
@anthonymckibbins5926,2024-03-13T07:32:44Z,1,I thought Godzilla liked Japan.😂,True
@Lettuce_Play,2024-03-13T05:11:03Z,0,Does he fight another giant monster in this one?,True
