author,updated_at,like_count,text,public
@user-cw9io2kp5y,2024-05-28T08:10:48Z,0,"Пора говорить ПРЯМО. ВСЁ ИСКУССТВО: КИНО, ТЕАТР, МУЗЫКА, КНИГИ, ПОЭЗИЯ , имеет ИСКЛЮЧИТЕЛЬНО ДВА ГЛОБАЛЬНЫХ СМЫСЛА , либо служит ПРОСЛАВЛЕНИЮ БОЖЬЕГО СЛОВА , либо дьяволу. Служить БОЖЬЕМУ СЛОВУ это значит , каждым КАДРОМ, РЕПЛИКОЙ, КУПЛЕТОМ и т.п. ""ПРИВОДИТЬ"" НАС, ЗРИТЕЛЕЙ, СЛУШАТЕЛЕЙ к ПОКАЯНИЮ, СПАСЕНИЮ ДУШИ, и соответственно наоборот, максимально удалять от него. 

МЕРЗКОЕ сатанинское КИНО. Под видом исторического сюжета скрывается обычная ДЬЯВОЛЬСКАЯ НАСМЕШКА И пример МАНИПУЛЯЦИИ душой человека, а ПОЧЕМУ надо понимать следующее. НО СНАЧАЛА. Любое УПОМИНАНИЕ в фильме О БОГЕ, ВСУЕ(что значит обращения к Богу без молитвы и благовейного состояния), а главное название этой небогоугодной операции это обычное БОГОХУЛЬСТВО(ХУЛА на ДУХА СВЯТОГО), самый СТРАШНЫЙ ГРЕХ если прельститься. НО БОГА ОБИДЕТЬ НЕ ВОЗМОЖНО ОН БЕССТРАСТЕН, А вот ХУЛА ЕГО это БОЛЬШОЙ ГРЕХ. А ГРЕХ это РАНА которую человек наносит прежде всего сам СВОЕЙ ДУШЕ. РАНА которая ОТКРЫВАЕТ ДУШУ ДЛЯ ДЕМОНОВ мучителей, БЕСОВ ПОРОЧНЫХ СТРАСТЕЙ, слуг дьявола. Сам же ФИЛЬМ НАМЕРЕННО «РАЗЖИГАЕТ», но В ДУШАХ самих ЗРИТЕЛЕЙ, действие множества СТРАШНЫХ ПОРОЧНЫХ СТРАСТЕЙ таких как ЛУКАВСТВО, ГОРДЫНЯ, ТЩЕСЛАВИЕ(ПАГУБНАЯ СТРАСТЬ К ЛЮДСКОЙ СЛАВЕ), ПОХОТЬ, ЗАВИСТЬ, ГНЕВ, НЕНАВИСТЬ, МЕСТЬ, ВИНОПИТИЕ, и КУРЕНИЕ. И ВОТ ТАК, ОГРОМНОЕ БОЛЬШИНСТВО ЛЮДЕЙ, ВОЛЬНО ИЛИ НЕ ВОЛЬНО СОГРЕШАЮТ(не вольно значит что, грех только у себя в уме, под действием той или иной порочной страсти, является таким же грехом), И ДЬЯВОЛ «ВВОДИТ» В ДУШУ человека ДЕМОНОВ МУЧИТЕЛЕЙ разных ПОРОЧНЫХ СТРАСТЕЙ. Ну А «ОБЩЕНИЕ» человека в жизни С любым ДЕМОНОМ, «ПРИВЕДЁТ» рано или поздно только к одному, или К ПСИХИЧЕСКОМУ РАССТРОЙСТВУ, или УБИЙСТВУ, или САМОУБИЙСТВУ. И к АДУ для ДУШИ после физической СМЕРТИ тела. И ПОЧЕМУ МАНИПУЛЯЦИЯ. «ПРИОРИТЕТНЫМ» демоном который завладевает душой человека при просмотре фильма, если конечно он уже не находится в душе, а если находится тогда усиливается бесами соответствующей порочной страсти, потому что он фактически из них и состоит, БУДЕТ ДЕМОН МУЧИТЕЛЬ КУРЕНИЯ, ПОТОМУ ЧТО КАК реально примерно ВЫГЛЯДИТ ЭТОТ ДЕМОН в своём «человеческом» виде ПОКАЗАНО В этом ФИЛЬМЕ. А что касается этого демона. С развитием эры электронных сигарет ЭТА ПОРОЧНАЯ СТРАСТЬ становится СТРАШНЫМ ОРУЖИЕМ МЕСТИ в руках ДЬЯВОЛА против человека. Дело в том что в них можно устанавливать небольшое взрывное устройство. И тогда одна затяжка приведёт к тому что лицо человека станет похожем на лицо чудовища из фильма хищник когда он в конце снял свою маску. И ВОТ как БЫЛО БЫ ХОРОШО, ЧТОБЫ КАЖДЫЙ зритель ПОНИМАЛ это. НО ЭТО очень «тонкие» моменты, ПОНЯТЬ которые МОЖНО будет ТОЛЬКО ЧИТАЯ, И ГЛАВНОЕ, ИЗУЧАЯ КНИГУ ЖИЗНИ, СВЯТОЕ ЕВАНГЕЛИЕ.

Да и ПОРОЧНЫЕ СТРАСТИ это ГОРДЫНЯ, ТЩЕСЛАВИЕ, ЛУКАВСТВО, СЕБЯЛЮБИЕ, ТРУСОСТЬ, ЧЕЛОВЕКОУГОДИЕ, ЗАВИСТЬ, ЖАДНОСТЬ, ОСУЖДЕНИЕ, АЛЧНОСТЬ, СКУПОСТЬ, СРЕБРОЛЮБИЕ, ЛИЦЕМЕРИЕ, УНЫНИЕ, ЧРЕВОУГОДИЕ, ГНЕВ, РЕВНОСТЬ, ВОРОВСТВО, РАЗДРАЖЕНИЕ, ВЛАСТОЛЮБИЕ, ПОХОТЬ, ЛЮБОПЫТСТВО, ПЬЯНСТВО, КУРЕНИЕ, ПРЕЛЮБОДЕЯНИЕ, ОБИДЧИВОСТЬ, ЗАСТЕНЧИВОСТЬ, ХИТРОСТЬ, РАССЕЯННОСТЬ и т.д. и т.п. И у КАЖДОГО ЧЕЛОВЕКА своя(СТРАСТЬ), так сказать, ЛИЧНАЯ. И ЭТО всё БОЛЕЗНИ, но БОЛЕЗНИ ДУХОВНОГО ПЛАНА.

А ПОЧЕМУ мы ВСЕ БОЛЬНЫ. После ГРЕХОПАДЕНИЯ АДАМА и ЕВЫ они были ИЗГНАНЫ ИЗ РАЯ. ДО грехопадения они ЖИЛИ В РАЮ подобно АНГЕЛАМ. После, БОГ одел их в «одежды» что значит в тела, и ДАЛ ЗАПОВЕДЬ «ПЛОДИТЕСЬ и РАЗМНОЖАЙТЕСЬ» и заселяйте Землю. НО для размножения, В ПОЛОВЫЕ ОТНОШЕНИЯ ПРИХОДИЛОСЬ ВСТУПАТЬ БРАТУ С СЕСТРОЙ. И ЭТО было вызвано необходимостью а НЕ ПОХОТЬЮ. И ВОТ ПОЧЕМУ КАЖДЫЙ рождающийся ребёнок уже ГРЕШЕН.  Только не физическое(физическое если вызвано похотью, между родными братьями и сёстрами), а так называемое ПЕРВОРОДНОЕ (ДУХОВНОЕ , ПРИЧИНА которого ГРЕХОПАДЕНИЕ) ПОВРЕЖДЕНИЕ(ГРЕХ, ПОРОЧНАЯ СТРАСТЬ) НА КАЖДОМ человеке при рождении. И У КАЖДОГО человека своя СОБСТВЕННАЯ СТРАСТЬ. И ЭТО БОЛЕЗНЬ, но БОЛЕЗНЬ прежде всего ДУХОВНОГО ПЛАНА.  И именно ПОРОЧНЫЕ СТРАСТИ людей являются ПРИЧИНОЙ ВСЕХ БЕД, СТРАДАНИЙ, и РАЗРУШИТЕЛЬНЫХ ДЕЙСТВИЙ на Земле. А вот условия ОСВОБОЖДЕНИЯ ОТ этого ПЕРВОРОДНОГО ГРЕХА(ПОВРЕЖДЕНИЯ, СТРАСТИ) как раз и ЗАПИСАНЫ в КНИГЕ ЖИЗНИ, СВЯТОМ ЕВАНГЕЛИЕ. НО СНАЧАЛА , чтобы донести их людям,  сам СЫН, БОГ СЛОВО ВОЧЕЛОВЕЧИЛСЯ(ИИСУС ХРИСТОС, имя ИИСУС означает СПАСИТЕЛЬ). А ЕГО за это РАСПЯЛИ. Но ОСТАЛОСЬ СВЯТОЕ ЕВАНГЕЛИЕ. Вот ЭТО и есть БОЖЕСТВЕННЫЕ УСЛОВИЯ , во первых ИЗБАВЛЕНИЯ ОТ ПЕРВОРОДНОГО ГРЕХА(а правильней сказать от ПОВРЕЖДЕНИЯ), И во вторых ДЛЯ СПАСЕНИЯ ДУШИ человеческой, ПОЛУЧЕНИЯ ЖИЗНИ ВЕЧНОЙ для ДУШИ, ПОСЛЕ физической СМЕРТИ тела , В ЦАРСТВИЕ НЕБЕСНОМ.

И поэтому ИСТИННАЯ ВЕРА В БОГА, в первую очередь ЗАКЛЮЧАЕТСЯ В «БОРЬБЕ» каждого ЧЕЛОВЕКА, ПРИ ЗЕМНОЙ ЖИЗНИ, СО своими собственными ПОРОЧНЫМИ СТРАСТЯМИ, И только ТАК можно получить СПАСЕНИЕ для своей ДУШИ.

Ну И ЕСЛИ каждый человек захочет ""БОРОТЬСЯ"" СО своими ПОРОЧНЫМИ СТРАСТЯМИ, ТО для начала, НУЖНО ПОВЕРИТЬ В БОГА, ПРЕСВЯТУЮ ТРОИЦУ: ОТЦА(СОЗДАТЕЛЯ ВСЕГО ЖИВОГО И НЕ ЖИВОГО, ВИДИМОГО мира и НЕВИДИМОГО),через СЫНА БОГА СЛОВО(ИИСУСА ХРИСТА), СВЯТОГО ДУХА. 

А ЧТОБЫ  ""ПРИЙТИ"" к БОГУ или ПОЗНАТЬ БОГА необходимо ПОКАЯНИЕ.  

Ну А для того ЧТОБЫ ПОНЯТЬ ВСЁ что ЗАПИСАНО выше, И для ИСКРЕННЕГО ХРИСТИАНСКОГО ПОКАЯНИЯ, которое необходимо УСПЕТЬ(потому что ВРЕМЕНИ осталось очень МАЛО, ВОЗМОЖНО даже примерно 7 месяцев, И ВСЁ(смотри СВЯТОЕ ЕВАНГЕЛИЕ от МАТФЕЯ, ГЛ. 24)) СДЕЛАТЬ ПРИ ЗЕМНОЙ ЖИЗНИ ЧЕЛОВЕКА, ПЕРВЫМ ""шагом"" будет (и как об этом уже упоминалось выше) ЧТЕНИЕ и ГЛАВНОЕ, ИЗУЧЕНИЕ КНИГИ ЖИЗНИ, СВЯЩЕННОГО ПИСАНИЯ НОВЫЙ ЗАВЕТ. ✋🏻",True
@SMD24,2024-05-28T03:01:53Z,0,"This movie felt like a documentary but I kinda hope for another movie from a similar perspective but different maybe a movie that includes the characters of Ron Hubbard a book religion scientific education author, eleanor roosevelt,  Martin Luther King, and etc. I guess to be honest I'm curious to how human rights formed coming from the religion and political side and many more stuff like engineering coming from big bang theory as well",True
@jgrules-cr6hf,2024-05-27T14:44:08Z,0,One of the greatest movies of all time,True
@aaronvaldes3104,2024-05-25T21:01:43Z,0,Amazing Film!,True
@dalvinvillarouel825,2024-05-22T22:39:51Z,0,Stupid no one dies yawn,True
@taniaeinbinder9872,2024-05-14T07:03:49Z,0,сахаров создатель водородной бомбы  может тоже премию оскар,True
@aileenzimmermann4921,2024-05-11T13:32:25Z,0,Leaving out once again a female scientist … Lise Meitner! Really I have no better words than this. And this shit happens in the year 2024 and people want to complain about feminism and Wokeness 🖕🏻🖕🏻🖕🏻🖕🏻 fuck the people that are responsible for keeping this factor out of the story. Could have been great - ruined everything for me! 😡,True
@user-xg3vk2gz7b,2024-05-07T02:46:01Z,0,"das funniest slickass interesting intelligence'$ auf das rather well～disguised et well～masqueraded well～coveted uses en employment auf das wayfully advanced patented ipr know～ledges auf technologie en une bombe atomique oppenheimer lie$ pretty pretty verdammt well en national cunt～tree$' sekrecy ser～vices en destroying all criminal evidences left behind by a～gents that may hath incurred another greatfully greatest debts' cry～sees that das funniest slickass interesting cleverestly diskreet detonations auf bombe atomique technologie en une inobediently rivalling interests' citi'$ can create ground zero destroying all criminal evidences overnight because everything can merely vanish en une flash wenn new～clear highly explosively meltdowns technologie hath been metikulously deployed underground en das strata rocks' faultlines whilst everyone ist sound asleep en warmed～up beds that das funniest slickass whole gott verdammt damned darn citi'$ can be levelled down to ground zero with everything gone et disappear et vanish overnight with nicht any traces auf criminal evidences left behind butt une "" mess "" ( maori'$ funniest slickass interesting accent : une "" miss "" :) 

our church fellows hath said that wee obamakids hath gained all these unparalleled know～ledge'$ to hath become highly ～ dangerously ～ butt ～ funniest slickass interesting beyond nuisance bjorn nielsen in～tell～i～gence'$ obama spykids en～das～fields as well～coveted spykid$' funniest slickass interesting a～gent :) oui, wee art highly dangerous as, oui, wee hath learned to playfully play die zauberflotte ( magicien wunder flute en deutsch :) ( mozart'$ playfully useful et meaningful wayfulness' libretto played fur hundreds auf years en austria et deutschland as well :) free mon～ster akademy en deutschland tuition fees～free en deutschland wenn thou hath passed das funniest slickass interesting deutsch vernacular arts proficiency nation～wide tests :)",True
@user-ed4np7eb6i,2024-05-01T04:06:10Z,0,Saw this movie. There were no scene that shows effectiveness of A-bombs in Hiroshima and Nagasaki. This saved millions of young American soldiers by ending the war? Why didn’t America drop it in Korea and Vietnam? Many young American soldiers could have been saved in these wars.,True
@andredefrancesco7111,2024-04-29T12:35:30Z,0,"You know what else was a great story. The us ship that took this bomb accross the Atlantic to the small Asian island, successfully thank god… but then that ship leaving that island and us sailors being torpedoed by the Japs and stranded in the Ocean. The Us Indianapolis",True
