author,updated_at,like_count,text,public
@user-mt4ny2zw7t,2024-05-29T05:45:27Z,0,"I cried at the end of this movie.   This movie should be just a cliche but it tells a very touching and very ordinary story with a lot of nuance.  While I was watching it, it felt like a more grounded version of Lost in Translation.   Not that they are the same but they play a few similar notes but this movie is not cluttered with jokes and noise that prevent you from feeling how raw it feels to be painfully in love with someone.",True
@pewpew-dg6rk,2024-05-28T20:52:23Z,0,"why!! 

she didn't married him!😢",True
@VeepeesVeeepees,2024-05-27T18:53:49Z,0,❤,True
@CP4Z167,2024-05-27T04:06:41Z,0,"Randomly saw this movie in my amazon feed. Is this worth watching, never really watch a movie like this before - but I guess there is always a first...",True
@knoxtaurigen,2024-05-26T06:45:26Z,0,I just think their song/soundtrack should have been a Korean song 🖤,True
@knoxtaurigen,2024-05-26T03:56:21Z,0,"The last scene broke my heart in billions of peaces. I cried a river, specially because: I've got in my own life exactly the same story.
My first love/boyfriend in life, when I was 18: and met again after 20 years, 4 times, being the last time in December of 2022 (when we got extremely drunk in a bar and talked about everything - the difference is that I've got a boyfriend and he's got a fiancé in that particular time - but we met alone)
I can see myself with him in all those scenes (except we've never met each other's partners).
We've got to the conclusion (without saying it) we will never be together again but that we will always love and wish the best for each other wherever, in whichever time of life, we are 🖤.
Seeing him has always been seeing a part of me wandering somewhere else.
Our love has never been dead and never will; we were just not meant to be cause our lives/decisions led us to different paths.",True
@bel333nnn,2024-05-25T19:23:01Z,0,song???,True
@otavioagustto,2024-05-25T08:56:36Z,0,filme doloroso,True
@faizanalikhanmohammad,2024-05-23T18:26:19Z,0,"I have a girl whom i had a crush on from my school days and after she changed school she just vanished. Since then it's been 9 years and i still try to find her in social media and other places. I just wanna see her one more time, talk to her and ask her how's she doing. just like the film ive have left the country to pursue my studies abroad but the safest part of the story is that I'm sure she doesn't even remember me. Not more that a benchmate from 7th grade. 

P.s anyone got any ideas how i could i get in touch with her. Please reply. 

Also i tried asking her best friends as well. Apart from the state she shifted I've got no other clue.",True
@teriekwilliams2828,2024-05-23T01:02:23Z,0,Boredom personified,True
@rs-369,2024-05-22T22:43:52Z,0,Wow!. lost for words. It hits hard. This was truly an award winner.,True
@rizkyrayadi6726,2024-05-16T14:39:32Z,0,i'm afraid you're dreaming something that i can't understand :) bro had too much pain in the film,True
@cosmocart2,2024-05-14T22:35:57Z,0,is this a backrooms refference,True
@Kimtiger0,2024-05-14T17:00:23Z,0,"If you like this one, gonna try ""architecture 101""",True
@KD-ji8sq,2024-05-14T06:34:26Z,0,Can anyone suggest me more movies like this,True
@berserk____1878,2024-05-12T03:29:12Z,0,Oxford study,True
@user-gb3wq6wb3r,2024-05-10T00:57:31Z,0,This was such a good movie. A highly recommended watch. Koreans have truly mastered the art of telling a love story (even if sad) that tugs at your heartstrings without all the fluff.,True
@Rutu3737,2024-05-07T00:23:43Z,2,"Women can forgot a men , but men cant😢",True
