author,updated_at,like_count,text,public
@djpanaligan1775,2024-05-30T01:19:47Z,0,THIS MOVIE WILL CHANGE THE WAY TOU LOOK AT LIFE ❤,True
@anbudanarun709,2024-05-27T19:11:05Z,0,How to see,True
@zhengkaizhu7969,2024-05-26T08:45:38Z,0,Japan's public toilet's design are awesome,True
@pinoniks,2024-05-22T19:42:36Z,0,It was so beautiful🤧😭❤,True
@Dammy1998,2024-05-19T18:35:36Z,0,next time is next time. now is now,True
@juliankwsuper,2024-05-13T16:10:20Z,2,"This film is like a gentle and warm touch to the heart.❤ 

amazing.",True
@SLorenziify,2024-05-13T07:59:40Z,0,今は今。そうです。,True
@comba06,2024-05-11T08:10:00Z,0,"In this era of rental crisis in all the major global cities of the world, if he gets kicked out by his landlord there won't be so many ''perfect days''...",True
@MangoHombre,2024-05-11T04:39:16Z,0,"This film made me think of the Jimmy Buffett song ""It's My Job"":
In the middle of late last night I was sittin' on a curb
I didn't know what about but I was feeling quite disturbed
A street sweeper came whistlin' by
He was bouncin' every step
It seemed strange how good he felt
So I asked him while he swept
He said ""It's my job to be cleaning up this mess
And that's enough reason to go for me
It's my job to be better than the rest
And that makes the day for me""",True
@meesalikeu,2024-05-10T13:21:24Z,0,"playing the lou reed song is way too cringey boomer on the nose for me, but its wenders, so its a must see and i’m sure it’s fine.",True
@rhythmmusic0,2024-05-09T01:48:44Z,1,"I have watched the trailer like 100 times ,can anyone suggest watching options for this awesome movie",True
@eva_ozean,2024-05-08T23:01:01Z,0,Ich liebe diesen Film inständig.,True
@fdl238,2024-05-07T15:31:58Z,20,"Who knew watching a toilet cleaner's everyday life would be therapeutic. It was like being there, enjoying the simple things in life like eating at the park. I watched this at home and it gave me that ""cozy"" feeling. Plus, those public facilities are a work of art! We don't have those in our country as far as I know. My favorite is the one that turns opaque and transparent.",True
@IngoMake,2024-05-07T13:48:56Z,2,"Somehow, *beautiful...* 🍃",True
@neoantrop,2024-05-07T07:13:11Z,0,"""There are things in life that are worth pursuing, and there are those that are profitable... and not aalways what is worth pursuing is profitable, nor is what is profitable necessarily worth pursuing."" this movie is worth to watch...",True
@mchrzanowskipl,2024-05-06T15:25:41Z,0,I'm going to take the deep breath and look at the sky when I'll be leaving home in the morning to work from now on 😊,True
@vladgarcia4487,2024-05-06T08:10:01Z,0,Unit 731,True
@stratoshd9043,2024-05-06T00:21:07Z,2,"Such a powerful movie, I understand why many wont like it. But if you have been there , you can understand what is going on Hirayama’s mind and soul...",True
@Rose-yz8vk,2024-05-03T19:59:30Z,1,"It's a very warm movie, a bit boring but that's part of it too",True
@DJGamingSmash,2024-05-02T20:12:02Z,1,Hoping that this will be added to Hulu next month.,True
@nickstoli,2024-04-30T04:48:51Z,0,"Just like certain genres of music aren't for everyone, this movie isn't for everyone.  If you like movies that emphasize character over plot, I'm sure you'll enjoy this. I loved it.",True
@ginpak7037,2024-04-27T20:39:14Z,1,"Just watched it, not my tyoe of movie. Not that it's bad, It's just tok slow for me. The plot never really moves on",True
@elmervestidas6127,2024-04-26T03:07:21Z,0,I wish I could see this movie,True
@user-uk9xx7tg7c,2024-04-26T01:32:10Z,0,نعم فلم واقعي احبت ذالك,True
@isabellek1171,2024-04-26T00:52:47Z,0,"Such a refreshing movie, daily mundane things scaled into a reflection of human life. Now is now.",True
@nikhilkarn9054,2024-04-24T04:43:16Z,0,Love it watching ❤,True
@Buplo,2024-04-22T02:15:41Z,0,Anyone here because of jschlatt,True
@emilyl.771,2024-04-22T01:08:18Z,2,"Just a question, were they tears of joy or sadness in the end?",True
@NatureFreak1127,2024-04-20T20:39:43Z,1,"This movie hits different in today's loneliness epidemic.

I just wanted to hug him.",True
@georgeh5075,2024-04-17T01:48:57Z,0,"Saw this movie with my girlfriend when it came out down in London.

She broke up with me today. A part of me wants to see it again and cry.",True
