author,updated_at,like_count,text,public
@ld_uehara,2024-05-27T11:30:27Z,0,It's like an epileptic seizure became self-aware and made a movie.,True
@MrGabeanator,2024-05-26T03:28:58Z,0,awesome,True
@Vincent-iz6od,2024-05-23T08:31:41Z,0,Spider-man was born in 1962 and is called Peter Parker.,True
@shj786,2024-05-22T08:05:46Z,1,Spiderman across the spider verse,True
@patrickogbole9997,2024-05-22T01:40:33Z,1,I LOVE BY MAKE IT MILES IS MY MIDDLE NAME,True
@Mike2-fk6ip,2024-05-21T00:45:33Z,0,This is one of the best movies i have seen,True
@Jean-kevindort,2024-05-19T06:18:15Z,0,The New Generation Spider-Verce 💯,True
@cedarpoplar,2024-05-17T01:07:36Z,1,"But, there are places an individual should avoid 🤔..",True
@GabriellaGomez-rd4xs,2024-05-15T01:18:40Z,1,0:08 2:19,True
@Christinezailo,2024-05-01T13:47:27Z,4,Loved this movie so much❤,True
@Christinezailo,2024-05-01T13:47:18Z,3,I cant wait for the 3rd part,True
@Skyyy32,2024-05-01T01:10:00Z,1,Feels like yesterday this movies comes in the theaters,True
@liamshannon2434,2024-05-01T00:21:33Z,5,Anybody here in 2024...just me? Okay,True
@robertg8853,2024-04-30T14:08:41Z,2,This movie is a piece of art,True
@Vincent-iz6od,2024-04-29T19:18:19Z,2,Spider-Man was born in 1962 and is called Peter Parker.,True
@user-jk3lf2gs9x,2024-04-24T17:38:50Z,1,a whole year ago,True
@SPIDERKN1GHT0327,2024-04-24T03:24:54Z,1,1:55 “Sam Raimi’s Spider-Man sucked”,True
@partyqueen334,2024-04-18T01:18:23Z,2,Spiderman acros the spider-verse🤩,True
@arissoooc,2024-04-17T00:52:31Z,1,I wana watch it again and again,True
@OriginalSniperLol,2024-04-12T01:17:42Z,1,loved this movie,True
@Vincent-iz6od,2024-04-11T13:48:31Z,2,Spider-Man was born in 1962 and is called Peter Parker.,True
@IvanAdrik,2024-04-10T13:27:29Z,4,best movie of all time,True
@itacryan,2024-04-02T06:55:25Z,3,What’s next? BEYOND the spider-verse?,True
@yousriblack1746,2024-03-25T02:24:29Z,1,Wait for this part when it is available?,True
@richardDara-ot9zp,2024-03-23T22:59:26Z,2,This epilepsy of a movie was too long 😂 I watched it because my daughter asked and I endured to find a to be continued at the end..,True
@rameshprasadjoshi5182,2024-03-20T22:24:29Z,1,leaving like that i hate it how long till the next one,True
@brentgilliam1209,2024-03-19T23:08:49Z,2,Who wants an entire movie devoted to Hobie-Spider-Man??!?!!!,True
@Pasha8204,2024-03-15T04:47:55Z,1,Need 4k in 1chapter,True
@aphichitkhongsangk5959,2024-03-13T18:21:04Z,2,"The Boy And The Heron :imdb 7.6
spider man across the spider verse :imdb 8.6
🤦🏻‍♂️",True
@rositaespinosa953,2024-03-12T21:34:53Z,3,robbed of oscar :(,True
@zlatkojozipovic4121,2024-03-12T12:21:59Z,1,thesee movies are the best movies ever created it just have a soul  and i doubt any movie will acommplish this level of cinema,True
@Anaraemon_,2024-03-11T21:04:41Z,2,SPIDERMAN DESERVED TO WIN THE OSCARS🗣🗣🗣,True
@onlyone23km,2024-03-11T20:40:55Z,2,The Oscars did this film so wrong.,True
@kascnef,2024-03-11T16:12:00Z,6,This movie should’ve won the Oscar but kudos for Miyazaki for winning his second Oscar,True
@JKsBowlersShoppe,2024-03-09T16:35:17Z,0,I’d love to know the title of this song. It’s an amazing theme. Anyone?,True
@perpendicularmouse,2024-03-07T21:07:52Z,1,"Finally rented this one out (thankfully didn't buy it) as the first one was crazy good but this one just left me mad, I didn't know it would end in a cliffhanger and now I need to pay more to see the ending IF an ending will ever be made as it already seems to be ""indefinitely delayd"" so if ya consider paying to see this just fucking don't, not at least before the ending is out",True
@smashg8823,2024-03-05T23:49:00Z,0,0:06,True
@M1HARX,2024-03-03T12:10:34Z,0,is this for kids,True
@1More_Dreamer,2024-03-02T20:03:56Z,0,"0:40-1:50 just hits different.That song,alongside the animation,remembers me that I,We can be heroes,EVEN WITHOUT SUPERPOWERS.Our actions,those little decisions to help the others,every single day,that's what God wants Us to do,even with the troubles of life🥲",True
@HOURLYSNIPES,2024-03-02T13:58:07Z,1,"*Spider-Woman X TMNT foot clan ambush Gwen after she finished fighting a villian she uses a riot shield to defend against all the blades being thrown as they threw an EMP that disables her senses she trips falls in a vent/sewer, gets a new suit (Gwens big time stealth suit but the green glow will be blue) meets the turtles and fights the foot clan w movie: TMNT Surge The Spider-Verse.*",True
@davidperezz7248,2024-03-01T04:37:14Z,0,Pander verse,True
@chumblespuzzspuzz4080,2024-02-28T18:13:23Z,1,"People don't talk about how well-done this trailer is.

It's not campy to tug at your heartstrings or overblown and ""hyped"" like most modern superhero movies. It's a trailer that sums up the film in its entirety without telling you what happens or why. But when you go back and rewatch it knowing what happens in the film, you see everything fall into place. The editing is fantastic, the use of score and sound editing is phenomenal, it's truly one of the greatest film trailers I've ever seen.",True
@Robert-el1ox,2024-02-27T19:35:29Z,0,I am  watching this trailer and i still get goosebumps,True
@ezequielgomez7083,2024-02-27T15:26:17Z,2,Spider-Man Across The Spider-Verse was my all-time favorite spiderman animated flim and is my number 1 favorite and best animated flim of year 2023 wins academy awards winner best animated flim of year 2023🎖🏆🏅,True
@hopewellmuzavazi2365,2024-02-26T21:52:46Z,1,Great movie,True
@user-me4uf5kk8f,2024-02-25T15:40:37Z,0,Spider man 2099 plz release,True
@user-me4uf5kk8f,2024-02-25T15:39:41Z,0,Spider man 2099,True
@user-me4uf5kk8f,2024-02-25T15:39:24Z,0,Release spider man 2099 who agrees with me,True
@user-me4uf5kk8f,2024-02-25T15:39:08Z,0,Release spider man 2099,True
@user-me4uf5kk8f,2024-02-25T15:38:52Z,0,When is Spiderman 2099 being released,True
@Kumalala250,2024-02-15T13:39:28Z,0,Best,True
@BasantiNachegi991,2024-02-11T03:30:28Z,0,Worst animation movie in history,True
@sixtyfour7081,2024-02-10T19:42:05Z,1,"this should have won best picture, change my mind",True
@kysa3535,2024-02-08T19:46:50Z,0,endboss for eptileptics,True
@Ozzie_Frenchcurrie,2024-02-05T13:47:26Z,0,"There are indians, and coloured people in the animation spider man universe but there isn't any lgbt person in the story, i am offended, this is very offensive against lgbt community, they are human too, they have a place in community too. Very sad, shame on you spider man universe creators 😢😢😢😢",True
@ashmcclelland5069,2024-02-02T18:35:03Z,0,Such an amzing movie!,True
@Derrick5240,2024-01-30T14:02:45Z,0,1:00,True
@adriaeverett,2024-01-27T21:41:13Z,0,❤❤❤,True
@MrMaskShort,2024-01-27T06:26:34Z,1,"This film is so cool i like this film

And please Sony make a film of The Amazing Spiderman 3",True
@Namesold69,2024-01-24T15:39:23Z,3,Biggest snub of the 2024 awards season,True
@nick_351,2024-01-12T05:08:58Z,0,"You really wanna know why this movie didn’t perform as good as the first movie?
Spider-Punk: And I annoy fascists every day 😀 
Oh are you referring to true fascists where people don’t talk about it but go across the world to hell to fight real fascism or just fellow neighbors that disagree with you that want the best for you? Yeah that’s what I thought",True
@joshuastandlee3455,2024-01-08T02:34:41Z,6,"The Golden Globes are a joke, this movie didn't win for Best Animated Feature. Someone must have been paid off, this is a travesty.",True
@Gamer-iw5cv,2024-01-07T01:14:31Z,1,Drop trailer for btsv NOW,True
@MrMaxmaxim999,2024-01-05T21:07:41Z,1,"Очередная кино""опера"" аккурат по повесточке. Как неожиданно.",True
@angelicaflores8340,2023-12-28T20:43:08Z,4,It's sooo good!!! PLEASE PLEASE PLEASE come out with a date for the 3rd one 😢 the original date was set for March 2024 but now it's unknown.... 💔 😭 I need a date for 2024,True
@XteenGorgeous,2023-12-27T20:04:53Z,4,"Miles' Mom: ""And he never lets anyone.. Tell him that he doesn't belong there.""

Miguel: ""You're an anomaly! You're not supposed to be spider-man, You're a mistake! You don't belong here."" 

I'm fucking crying 😭",True
@AlynReeves,2023-12-27T02:41:26Z,0,This whole movie looks like it was made by A.I,True
@Everything_Random8,2023-12-26T17:57:56Z,0,Wow.,True
@torstenwetshooteng8700,2023-12-25T20:37:10Z,1,Just finished watching this bruh it's nice...but I was pissed on the to be continued,True
@mercedesjacevedosilva9146,2023-12-25T14:38:54Z,1,In Christmas (2023),True
@mercedesjacevedosilva9146,2023-12-25T14:38:45Z,2,In Spider Man 2: Across The Spider Verse (2023),True
@user-bb6zm1wd1c,2023-12-20T22:05:57Z,0,Amazing,True
@MrGabeanator,2023-12-19T06:32:16Z,0,many things sent me,True
@NefBZA0999,2023-12-18T21:46:48Z,2,It's an Acid trip.. minus the chemicals..,True
@wickedshadesproductions5254,2023-12-17T03:08:37Z,1,"When I first saw this in theaters with my friend, I ran home to hug my parents because I felt like this was happening to us.",True
@futur3anth0ny,2023-12-16T16:35:53Z,2,I doubt I’ll ever see a sequel even better than the original.,True
@the_hughman_spider,2023-12-16T10:27:50Z,3,I’m coming back to this trailer 6 months after the movies release and it still gives me goosebumps.,True
@kieran1990able,2023-12-15T23:02:29Z,1,they fukin cancelled the sequel cuz they couldn't conclude production. What a joke!!! It was going so well and then ...,True
@imjms99,2023-12-14T17:04:10Z,5,1 year ago man time flies 😢,True
@Vincentv406,2023-12-13T22:17:54Z,1,1 year ago today we got the trailer to one of the best Spider-Man movies ever. I wish I could watch this for the first time again,True
@RandomlyWaffle,2023-12-13T21:30:51Z,0,Cant believe today this masterpiece is one years old ❤,True
@abidemionifade2917,2023-12-13T18:27:03Z,0,1 year trailer,True
@brainydude8666,2023-12-13T17:06:12Z,0,"Hard to believe this masterpiece of a trailer came out a year ago. It definitely lived up to the hype and became one of, if not the best spider man movie.",True
@IC2K99lovesBingBong,2023-12-10T23:39:08Z,4,why spiderverse movies are really underrated?,True
@redtreestimeline8960,2023-12-09T16:46:02Z,0,This is honestly the most overrated movie in existence.,True
@joaquintamayo3126,2023-12-07T05:03:32Z,1,This movie was way better than i expected!!!,True
@phuonghongphan491,2023-11-30T04:50:35Z,0,"The Second Trailer Premiered It's In June 3, 2020.",True
@phuonghongphan491,2023-11-30T04:50:06Z,0,"This Trailer Premiered In Dec 7, 2019.",True
@David-xc4we,2023-11-27T07:05:19Z,2,"WITHOUT A DOUBT, THE GREATEST SPIDER-MAN MOVIE!!!",True
@avnish_s,2023-11-25T18:27:26Z,2,Imagine watching this when you're high !,True
@xenianavarro4148,2023-11-25T17:46:10Z,0,Omg I live Spider-Man so much,True
@alejandrosalinascastillo7045,2023-11-22T22:08:24Z,0,"Sería genial si los ""Miles"" intercambiarán lugares, estarían con la persona q más lamentan haber perdido y cuidando lo más preciado del otro.",True
@Abigblueworld,2023-11-22T00:38:29Z,0,I just went wtf is going on this is not my cup of tea with biscuits my head hurts why,True
@freemusiclovers5247,2023-11-17T19:37:07Z,0,"Again the forced integration that no ones needs, a black Spiderman? really? whats next? black batman too?",True
@tobatus,2023-11-16T20:53:03Z,1,one of the best spiders,True
@JSPokemonYT,2023-11-16T01:38:14Z,3,One of the greatest animated movies of all time!,True
@karmauchiha1665,2023-11-15T17:44:30Z,2,1:54,True
@NM-ue8on,2023-11-15T05:37:44Z,0,2:09,True
@princeerosallanacedillo3516,2023-11-13T19:57:29Z,0,you are bad,True
@Dmeachyjr6167,2023-11-13T09:15:10Z,0,And he can go today she will work for her,True
@ASkippingRock,2023-11-11T13:38:31Z,0,This was a really really good movie.,True
@matai2437,2023-11-11T07:29:47Z,0,They brought their A-game artistically on this one pulled off a masterpiece 😊,True
@nashyvan6667,2023-11-11T01:45:29Z,0,This is a crazy helpful message,True
@jackleibiii1411,2023-11-09T17:43:24Z,0,2:08,True
@crashingflamingo3028,2023-11-08T21:22:21Z,0,It's amazing how this trailer does not even scratch the surface when it comes to the awesomeness of this movie.,True
@Retroflow97,2023-11-07T16:23:02Z,2,Miles’s mom speech is so warm & caring ❤,True
@brikkboyz22studiosextra,2023-11-07T09:19:33Z,0,"coming back 10 months later to pause the trailer at a random area and see whether or not it is wallpaper material
Edit: it is",True
