author,updated_at,like_count,text,public
@johnrafaelb.garcia269,2024-05-28T14:13:41Z,0,why am I crying just by watching the trailer,True
@ittoarataki347,2024-05-27T22:39:57Z,1,"Rumor has it that a columbian woman was involved in this film, contributed 25,000 drawings for a ten seconds scene. 

Her nation must be proud of her.",True
@totallylegityoutubeperson4170,2024-05-27T21:44:19Z,0,Thank God for old school animation.,True
@NirvashOne,2024-05-27T13:22:57Z,0,When is this coming out?,True
@francescopallotta97,2024-05-26T10:29:44Z,0,In 20 y this masterpiece will be recognized as one of his best movie,True
@sparetire3,2024-05-26T04:30:34Z,1,"This to me was as the best studio ghibli movie. Very persinal, a true masterpiece.",True
@efcc123,2024-05-25T11:27:07Z,1,When official episode is releasing,True
@123logtop2,2024-05-23T16:30:40Z,1,"作画は素晴らしかった。
内容は良く分からなかった。",True
@sannypsaykho,2024-05-23T11:34:39Z,0,always watch the Original Japan Voice version,True
@Aphrodite77798,2024-05-22T17:47:29Z,0,"""A grey heron once told me that all grey herons are liars. So, is that the truth or a lie?""",True
@djefardeur7958,2024-05-21T10:24:20Z,0,🔥,True
@user-tt5wn1oq3d,2024-05-20T08:45:27Z,0,この映画のテーマは「悪意」です,True
@connorjohnstone6420,2024-05-18T19:47:19Z,1,"Ugh. This film is an emotional itch-fest. So beautiful to watch, so beautiful to feel.",True
@user-lx4kn4gi6o,2024-05-18T07:34:29Z,1,"With all due respects ,this movie was way too complicated unlike other Ghibli movies.",True
@Hollikali122,2024-05-17T14:26:32Z,1,Why am I getting goosebumps? ❤,True
@mremu,2024-05-16T18:53:30Z,2,"I feel so lucky to have had Studio Ghibli a part of my childhood. My Neighbor Totoro was the first that I saw and watched the VHS over and over. I love all of them, but that one, Spirited Away, and Howl's Moving Castle will always have a special place in my heart. And Joe Hisashi's music is so beautiful that when watching his 3 hour concert of all his Studio Ghibli music, parts of it make me cry every single time.",True
@searchingforaname,2024-05-15T12:25:25Z,0,This trailer itself made me escape the reality,True
@simonpease,2024-05-14T03:54:13Z,0,Robert Pattinson really went full goblin mode in this one.,True
@evan.iraheta,2024-05-13T23:35:06Z,0,Hayao Miyazaki opus magnum.,True
@UPHCKOTEshimoga,2024-05-13T08:14:43Z,0,just wow,True
@chorizojoe8282,2024-05-13T04:03:58Z,0,Just came here after that Colombian woman lied to her country’s media about working on this film lol,True
@kartik8419,2024-05-12T17:07:00Z,1,Finally I watched this movie today in cinema. Such a beautiful movie. Miyazaki is indeed the legend. Hope this comes soon on Netflix so I can watch it again.,True
@BAINynoona1,2024-05-08T19:33:55Z,3,Spirited away vibe 🥲❤️,True
@withoutcontext7953,2024-05-08T19:01:26Z,0,"So, is Miyazaki out of retirement?",True
@lilratul,2024-05-08T12:17:17Z,1,2024,True
@sahilsaini4574,2024-05-08T05:23:57Z,1,trash,True
@zeibeats,2024-05-08T01:04:41Z,0,another spirited away ?,True
@v1kzzz246,2024-05-07T06:47:48Z,1,It's releasing in india on May 10th but thee fact that it won't release in any of the theatre in my state is very disappointing.,True
@natuskizhang7971,2024-05-06T19:19:10Z,0,😆😆😆😆the walawala is so cute ❤❤❤❤❤❤❤❤,True
@natuskizhang7971,2024-05-06T19:19:01Z,1,😆😆😆😆the walawala is so cute ❤❤❤❤❤❤❤❤,True
@k-popstand2662,2024-05-05T10:31:27Z,1,Anyone tell me please which website that’s I can watch 😢,True
@HiDeki2684,2024-04-30T19:46:00Z,0,We just watch now here in Amsterdam Netherlands,True
@lowpower2525,2024-04-30T02:07:02Z,2,"自分にとっては宮崎駿監督の一番美しく、最高の映画だと思えた。今までの作品の殆どがスケジュールの点で、彼のビジョンを半分くらいしか実現できなかったのかもしれない。
この映画は、基本的にスタジオの資金だけで制作したので部外者の意見抜きで自由に作れた。
彼の作画は減ったが全てに目が行き届いてる。
まるで宮崎駿さんの魂そのものを見ているようだった。
三時間、別の世界を旅していた。こういう世界は存在するのかもしれないとすら思えた。",True
@SecretHero914,2024-04-29T16:21:44Z,4,I’m waiting for this movie to come out on DVD,True
@buusinhojr.9555,2024-04-27T03:13:53Z,0,Maybe I should watch this when it gets to the streaming,True
@yahoo.lol-e,2024-04-26T22:01:22Z,0,متى ينزل في انمي سلاير  ؟,True
@user-lr5on3uj2t,2024-04-26T21:32:02Z,0,"i watched the movie yesterday and i have some questions about the endig

1. When the grand uncle world was destroyed (tower collapsed) does that mean the pelicans are now free? since they were stuck on the island starving and thus lead them to eat the wara wara and they weren’t native to the magic world ? Does that mean they returned to their real world 

2. himi burns and kills some wara wara trying to protect the majority of them and some wara wara get eaten doesnt that mean the dead wara wara also reincarnate again? since the wara wara are a reference to how souls are created and the the movie theme is about life and death and reincarnation? 
and kiriko says that himi killing some of them with her fire will help the majority to be reborn doesnt that also imply that these souls also regulate anyways even if they get burned or die?",True
@syarifahrizki7824,2024-04-23T07:53:58Z,0,"*don't read my comment if you haven't seen the film.*

i was wondering why did the step-mother shouted at mahito and said that she hated him when she was in the labour room? what was her reason to say that to him? she seems quiet attentive to mahito when they're in the real world, i thought even if she struggled to make amends with mahito, she wouldn't respond to him that way.

it's been a few months since i watched  it on theatre so i don't really remember her exact words at that time",True
@shawnwhitter5968,2024-04-21T04:25:00Z,0,The animation looked great but the movie was meh and overrated; it was as bad as Tales from Earthsea,True
@lwwwwl,2024-04-20T17:00:27Z,1,英語版の方がいいね,True
@Ghost_gamer141,2024-04-17T05:33:37Z,1,After watching jjk hearing mahito 💀,True
@user-ejit353fere,2024-04-15T18:21:00Z,1,"One great thing being Japanese is to get to see his film in the original language and being able to immerse yourself to it.

Hayao spoke to audience through every character in this film. Everybody represents some part of Hayao Miyazaki.

If you stop trying to follow the story you start to see it as a cluster of bare sketches and unfinished idea lined up randomly.
Those are the primal visions to be another Hayao Miyazaki film but he knew his time won’t be enough for every single ideas he has.

And I guess he tried to showcase them in a form of “art film” and that’s what this film is I think. This is built differently from all his works.

They’re keep pushing limit of 2D animation that’s just AMAZING.",True
@alextheeng234,2024-04-15T08:44:59Z,0,Where can I watch this plz??,True
@supernoah5615,2024-04-14T21:40:19Z,1,Have fun with those 3 hours adventure,True
@dukmuk1282,2024-04-11T20:40:11Z,0,This was the last movie i ever watched with my ex. Hhahahha...,True
@Yuristars_,2024-04-11T16:16:02Z,0,Can someone tell me where to watch this?,True
@j0ellyfish,2024-04-10T17:42:27Z,0,Finally a cast that isn't all English people.,True
@mechanicus2501,2024-04-10T16:27:45Z,0,I really hate when they put english dub its never as good as Japanese,True
@gameson4506,2024-04-10T11:15:44Z,0,Somebody make part 2 of The secret world of Arriety 😢😢,True
@NghtyNut,2024-04-09T23:44:19Z,0,boy and the heroine?,True
@KR.-be1qz,2024-04-09T07:32:19Z,0,ধন্যবাদ  from a state of bharat called ASSAM. Thank you hayayo miyazaki. Thank you studio Ghibli,True
@shreyashvaidya2773,2024-04-08T07:29:06Z,0,Cedric Diggory got isekaid as a Heron after Pettigrew killed him,True
@sebbies5801,2024-04-08T03:18:35Z,1,"Such a beautiful, wondrous, and whimsical film. Please give it a a watch ♥️",True
@ranins4649,2024-04-06T04:39:54Z,0,"1:45
Voiced by florence pugh",True
@ranins4649,2024-04-06T04:38:09Z,2,Christian bale + dave bautista + williem dafoe + florence pugh + gemma chan : MCU reunion,True
@ranins4649,2024-04-06T04:36:19Z,1,Mahito in jjk : 😈,True
@mael2839,2024-04-05T17:57:38Z,2,This is a fucking masterpiece!,True
@unrule.,2024-04-05T15:54:30Z,0,only heard of because it stole the title from spiderman,True
@ruimintianomi6382,2024-04-05T14:50:24Z,0,"I decided to watch it today 'cuz it was an Oscar winning film and received rave reviews from critics. But I don't understand it at all. I guess there's a bond between what this film represents and certain group of audiences, and that bone makes this movie so fascinating, but I'm not connected to that bond.",True
@March7th1800,2024-04-03T23:51:29Z,0,Is nobody gonna talk about how he just yelled your mother,True
@mustafasanane237,2024-04-03T06:37:41Z,1,Worst miyazaki story ever. Totally time wasting and shame on legacy,True
@kazuyukihi1208,2024-04-02T18:37:02Z,2,観てよかった,True
@franciscorivera8399,2024-04-02T14:40:42Z,1,I read somewhere where this film is suppose to come back to theaters again,True
@delsongalasinao706,2024-04-01T15:20:05Z,0,This is art a gem.,True
@thedarkdoctor3310,2024-04-01T14:45:27Z,0,Similar to spirited away ?,True
@Liuzhen718,2024-03-31T17:19:44Z,0,Great trailer but is this a good movie because I’m not sure if I should watch it or not ❤😂😂😊🎉,True
@alexvu328,2024-03-30T12:19:09Z,0,"Hayao Miyazaki, and the rest of  Studio Ghibli team, I hope you are doing fine in the coming years of 2023 and now 2024. (Had to say 2023 because it was late due to life work business) Also... Thank you for releasing this recent masterpiece.",True
@-DEX-,2024-03-30T04:46:03Z,2,Where is the dub virsion please tell me 😭😭,True
@lovglyncampa1904,2024-03-30T03:58:19Z,0,"The animation is excellent but the story, sad to say it doesnt intertain me.... A downgrade of gibli movie",True
@FoxWrldddd,2024-03-29T10:18:53Z,0,0:03 the way a jjk fan gets startled at this,True
@amybecker0802,2024-03-24T09:12:10Z,0,When will this be available on DVD?,True
@YasminYoruba,2024-03-23T07:16:56Z,2,This looks absolutely incredible 😢,True
@user-sb3dg6eu5w,2024-03-23T06:46:35Z,1,"英語版が出てることを初めて知った…
英語版もめっちゃいい…さすがだなぁ…",True
@CatMonster_,2024-03-22T23:39:11Z,0,0:33,True
@derrickulous,2024-03-22T12:16:26Z,0,Looks fire,True
@aestheticsindhi3109,2024-03-21T16:26:35Z,5,Oscar winner movie 🌺🌺,True
@user-mf5dw4zg4k,2024-03-20T09:31:40Z,1,"日本版の声にすごく似ていますね
宮崎駿さんが直々に演技指導したのだから
元々の声に合わせないとおかしくなりますもんね",True
@klo725,2024-03-19T19:54:15Z,3,"I wanna suprise my boyfriend with tickets for this movie, is it worth and good? Please help!",True
@user-ny9kk9ln6y,2024-03-19T12:06:42Z,1,"5x in theater and 2 of them in IMax, very good film, a bit confusing, but its good.",True
@realamericannegro977,2024-03-19T06:29:29Z,0,This looks so digital,True
@jassimsalman3034,2024-03-18T19:29:03Z,2,I saw the movie and I couldn't understand anything from it 🙃,True
@kabeerrajoria,2024-03-18T17:51:55Z,3,Pleasssseeee someoneee pleassssee release this India 😭😭😭😭😭😭😭,True
@BreakTheStereoRadio,2024-03-18T17:19:26Z,1,Is this movie scary?  I'm thinking of taking my 5 year old but she hasn't seen many movies.,True
@bloxer1087,2024-03-18T06:44:24Z,1,Is that Sasuke from ponyo?,True
@prodtoxyn,2024-03-18T05:27:47Z,1,"Anyone else misread the title as ""The Boy and the _Heroin""_",True
@lilcrazymiami8306,2024-03-18T04:34:40Z,0,Looks really good,True
@Jayphotog,2024-03-17T21:26:12Z,0,"WORST MOVIE EVER IT""S TERRIBLE. I LEFT THE BIOS AFTER an HOUR OF BOREDOME",True
@josephsustaita549,2024-03-17T15:40:51Z,3,I can't believe this beat Spiderman Across the SpiderVerse in the oscars. BOO!!!,True
@Arakellian,2024-03-17T06:23:14Z,3,"Late to the trailer, but it's already making me cry.. forcing me to face my own insecurities and issues. I enjoy the moment of letting go but hate feeling the pain resurface... All giblie films do it to me I keep repressing because I don't feel safe enough to heal. Mark as the heron is perfect (the heron has alot of deep mysticism as a guide in many mythologies.) it's like mark is playing the true Luke Jedi master in this lol",True
@PikaLink91,2024-03-16T20:50:21Z,4,"Just watched this film in Japanese with Danish subs. Visually stunning and as always Miyazaki has one heck of a vivid imagination to come up with all this shit... but I felt the plot lacked focus, and too many things happened in the 2nd and 3rd act that felt super random. As if Miyazaki just wanted EVERYTHING in his head to be in this (alleged) final film of his.

That said, can't wait to rewatch it in English.",True
@nox5870,2024-03-16T20:26:59Z,3,Robert Pattinson absolutely nailed the voice of the Heron! What a performance!,True
@GForceIntel,2024-03-16T17:14:08Z,2,I thought I've seen great animation until I saw this. Wtf. Next next level animation.,True
@LAZISH,2024-03-16T11:30:14Z,0,Recognized Flo's voice <3,True
@KsatriaBatangHitam-dq4tg,2024-03-16T04:33:38Z,1,Legend!,True
@julieannsarabia2000,2024-03-16T03:51:13Z,4,And the Oscar’s goes to!!!!!!! THE BOY AND THE HERON!!!,True
@richardwilliams3839,2024-03-16T01:44:40Z,0,Looks very interesting should I watch,True
@ubaid_ali8233,2024-03-16T01:41:58Z,0,Who is here after watching oskar,True
@kaisa6849,2024-03-15T20:22:39Z,2,"This is the biggest fail in Miyazaki’s career in my opinion, i just watched it. There is no story, it’s bits and pieces of random shit sewn together, i feel like the art, music, are the authentic Ghibli but that hardly what makes movies, i feel nothing for the main character let alone the other characters, he isn’t expressing nothing, he isn’t talking, his voice actor sounds too mature for him. By hour 1 still no development, everything was rushed, not enough context, the heron was a meh character, his mom/himi too. Wtf was this about Miyazaki, it’s like i was given a box of empty boxes which took me 2 hours to unrap and find f-all. This one killed any potential intrest i might have for futur Ghibli movies, let the man retire.
Edit :
For some reason i think the tower king/great uncle is Miyazaki, and this is his interpretation of him trying to pass the torch irl (handing over his company to his kin) and failing. I think the blocks bit at the end is him coming up with stories and him hitting the end of his creative well, if i am right on this this would explain all the bullshit, and i take it.",True
@user-yk6ih3vg8h,2024-03-15T19:23:58Z,0,متى ينزل في البرامج ارجوكم,True
@cielotardecita343,2024-03-15T17:54:57Z,2,Oscar🏆👑,True
@waretaSL,2024-03-15T13:49:33Z,1,Proof that 2D animation will never go out of style,True
@user-hu5bv4sm5k,2024-03-15T06:37:41Z,1,映画館に見に行ったくらい作品的に立派❤,True
@Impostorzim,2024-03-15T03:16:34Z,3,People mad about Spider-Man at the Oscars really need to see Spirited Away. These guys understand animation.,True
@darleneagramon770,2024-03-14T16:44:33Z,1,🤍,True
@BreadBeamsLoL,2024-03-14T13:55:26Z,1,Where you go I go💀,True
@kidsIIIII009,2024-03-14T13:26:33Z,2,I’m surprised we got some of the marvel cast for some recurring characters going on in this anime movie,True
@Roberto1000-gb9xg,2024-03-14T07:13:40Z,0,555,True
@solidturtle6910,2024-03-13T22:45:37Z,5,from a distance i already knew it was williem defoe,True
@chasethefool,2024-03-13T17:39:46Z,1,I just wish they would actually animate their work instead of using keyframes. Lazy and terrible.,True
@user-nv2ui8ei7f,2024-03-13T17:24:01Z,1,I'm drunk and I thought this was the boy and the heroin,True
@sahrishmajeed8012,2024-03-13T13:28:44Z,8,there it is oscar winner movie,True
@mrceleb2006,2024-03-13T12:12:17Z,4,"This film won a Golden Globe and an Oscar for Best Animated Feature!  BTW, there is a common bond between this film and Best Picture winner 'Oppenheimer'...Florence Pugh is in both films!",True
@lilimin1378,2024-03-13T03:04:51Z,0,❤️,True
@greatness3554,2024-03-13T02:41:51Z,1,This is weird!!!,True
@beachfan1278,2024-03-12T21:47:22Z,35,Congratulations on the Oscar win!!!!,True
@alexamerling79,2024-03-12T21:20:58Z,3,Can't wait to see this.,True
@indigos.4227,2024-03-12T20:03:05Z,1,Wow Bautista has came a long way! Always liked his acting.,True
@vikashkumarbhagat3001,2024-03-12T20:02:30Z,10,Who is here after Oscars......😅,True
@chessify518,2024-03-12T18:33:41Z,8,congratulations for Oscar,True
@Getoutreal,2024-03-12T18:24:50Z,6,Oscar win 🎉🎉🎉 congratulations 🎉,True
@shishirpammi7114,2024-03-12T17:10:00Z,7,Congrats to the team for winning best animated film of the year! Well deserved for sure,True
@arassi2710,2024-03-12T15:48:31Z,3,congrats ❤,True
@facttron3599,2024-03-12T14:18:50Z,4,Who is here after this win Oscar. ❣️,True
@hruaitearalte,2024-03-12T13:59:36Z,2,"I see some reference but with opposite sex with Howl's moving castle. And and, congrats for Oscars.",True
@mmdpsj,2024-03-12T10:56:54Z,6,This is the most beautiful movie I've seen thus far in my opinion,True
@user-fo9zq8hp2w,2024-03-12T08:15:55Z,5,Поздравляю с получением Оскара,True
