author,updated_at,like_count,text,public
@tylerhudson3189,2024-05-21T06:59:06Z,0,This is my favorite movie of all time.,True
@carama3590,2024-05-16T13:10:26Z,0,I’ve never heard so much blasphemy before my life. God be with you all,True
@FresnoCA93727,2024-05-14T00:30:12Z,0,Such a sweet film.,True
@Sirmenonottwo,2024-05-14T00:11:15Z,0,What if it is shot as a comedy at first but is really about a young adult who become a quadriplegic and the real movie starts from there?,True
@LetsTake-a-Look...,2024-05-12T21:40:44Z,0,'Shining' 😊,True
@Nefarious24,2024-05-12T04:47:04Z,0,One of my favorite movies of all time now!,True
@sasarakic8797,2024-05-11T14:36:40Z,0,it's a shame that paul giamatti didn't win an oscar for this role.  they robbed a man,True
@kevintyler7932,2024-05-10T20:37:58Z,0,Fantastic movie,True
@thatspiritualhumane,2024-05-09T18:20:09Z,1,Paul Giamatti in the role he was born to play,True
@inegozamora168,2024-05-09T00:42:34Z,0,That was a great movie I watched. It was so classical from the 70s.,True
@TheUKRifter,2024-05-07T16:30:40Z,0,I loved this film so much,True
@buckminsterfullerene2149,2024-05-07T13:54:04Z,0,"Damn, this movie grew on me as I was watching.",True
@kawaiiqueen8730,2024-05-06T13:37:56Z,1,This came out on prime and I looked up the trailer to see what year it came out in because the look is so retro 😂,True
@TurboMintyFresh,2024-05-06T03:45:54Z,0,I miss movies like this,True
@michellewilliams1474,2024-05-04T22:32:00Z,1,"You Guys this movie made me cry so much! I mean u laughed but I cried even harder,like he said the world can be a bitter and complicated place for some..At the end when he gave up his job for the Kids education I boo hood again, because I would have did the same..Great movie!",True
@r2x262,2024-05-02T04:47:56Z,1,"What a beautifully crafted film. Cinema at its highest level. Everyone involved in this film should be proud of themselves. Of course as usual Paul Gianotti gives a spectacular performance. The young man Dominic Sessa is a powerhouse. He gives a rebellious but tender performance just outstanding. Don't misunderstand me the whole cast was just excellent. So will written David Hemingson....Alexander Payne, I have talked to you. Wow. Cinnamontography I loved the flow.. Thank you so much for showing Hollywood what quality is.",True
@user-be9uc4zt8y,2024-05-01T02:19:17Z,0,My wife asked me if we can watch tonight so I watched the trailer.  Can't wait it looks awesome.  Who's the lead actor?   Can't remember his name but he great in alot of movies.,True
@sunnynirmaan6899,2024-04-30T11:40:10Z,0,I was in Hostel life for a few years and there indeed were few students left behind in the winter holidays.,True
