author,updated_at,like_count,text,public
@themanwhowokeup,2024-05-28T20:20:13Z,0,"Now the imperialist bastards are doing the same thing in the world, trying to push ordinary people of different nationalities into the abyss of a new war.  We have the power to stop these creatures.  They have raised new fascists on the lands of Ukraine and, using Russia, are trying to incite hatred throughout the world, turning Russia’s protection from NATO into aggression.  The Russian people do not want a repeat of the first and second world wars, when millions of people died.  But the Western media in every possible way distort the true state of affairs, as was the case during the Second World War.  People, say goodbye, we cannot allow the destruction of many people on this planet.  We don't hate each other.",True
@slm8025,2024-05-26T23:16:51Z,0,"Mads Mikkelson, Johnny Depp, how many others we'll never know but it seems REAL ACTORS are finding the epic roles in European movies,..., the USA has BARBIE. I'll be living on BABBEL to learn all these languages so I can enjoy great movies! LOL!!!",True
@Marcel_theOutcast,2024-05-26T22:43:49Z,0,i will be watching this solely for Mads Mikkelsen,True
@Mayrik92,2024-05-22T03:49:48Z,1,This movie is so good.,True
@saravanan-subramanian,2024-05-20T01:26:17Z,0,"Few movies capture the ""pioneer spirit"" as well as this movie does. Everything about the movie is top notch! Kudos to the entire team! 👏👏👏",True
@DC-jd1pu,2024-05-17T08:44:42Z,0,Oscar,True
@jjforcebreaker,2024-05-15T09:16:08Z,0,I love coming back to this trailer. Masterwork.,True
@Unknown-zt3ek,2024-05-13T12:05:59Z,0,Mads made his call to send a important message in order for vengeance to be negotiated about the war to stop the chaos.,True
@Wayfarer17683,2024-05-12T22:41:01Z,0,"So would you say, ""Chaos is a ladder?""",True
@Ray_kertaraja,2024-05-11T13:32:20Z,0,"I love this movie... It is like discribe about the real hard life at that moment, and people are just don't care for they each others, and of course the King and the Lords, they are always the same kinds in every kingdom on the lands of the world, Arbitrary...  By the way , this is super movie very good story.. very nice..👍",True
@SOHANSINGHRAJPOOT,2024-05-10T08:52:43Z,0,"I loved it, a historical and biographical film full of feelings. A heartbreaking story of a cruel and classist Denmark, which reveals how social classes divide us and bring out the worst in human beings. A character who does not allow himself to be intimidated and undertakes a battle so unequal that he will put not only his life at risk, but also the family of marginalized people that has formed around him. Ludvig Kahlen is an outcast, a bastard who longs for a noble title, a title that is far from giving him happiness and, above all, dignity. A Mads Mikkelsen who perfectly embodies a man devastated by poverty, misunderstanding and disdain for a solitary life. A man who only hopes to live his dream...serve the king!",True
@bibobnest,2024-05-08T02:17:14Z,0,"Harvest Moon on hard mode, governed by Monarch",True
@___AND___,2024-05-05T18:08:05Z,0,Bravo! Дуже реалістичний фільм з глибоким змістом! Дякую за фільм! Danke. Thanks.,True
@g.williamwoodward6676,2024-05-05T17:59:49Z,0,So glad I didn’t watch the trailer,True
@yassernabeel9075,2024-05-03T22:17:54Z,1,very good movie.. deserve to watch.. Mads u r star,True
@bruhdude6712,2024-04-25T08:24:00Z,0,this was so good👍,True
@BmTarantino,2024-04-20T13:22:01Z,0,Cinematography 😭🔥,True
@Neil-ru7kw,2024-04-12T20:05:23Z,0,"A sand and rock land . That god is a real joker , eh .",True
@johnnyv.5142,2024-04-12T07:48:14Z,0,How did this epic masterpiece not win an Oscar for Best Foreign film?? A 18th century period piece that is as close to perfect and entertaining as a film can get!,True
@Guts-blood,2024-03-30T02:27:40Z,0,I love this movie best thing i watch in years. Just excellent,True
@rafalwolny7736,2024-03-28T11:37:20Z,1,"Great movie, showing what is important in life. It is worth to see",True
@distinctloafer,2024-03-27T02:51:51Z,0,"Gotta loves him even when the movie is just decent, wortg every watch",True
@chrisdavis405,2024-03-25T17:35:18Z,0,Yessir!,True
@carlitoBrigante001,2024-03-19T20:54:36Z,0,Long time i didnt watch better movie!! 10/10,True
@maddrop,2024-03-19T18:14:30Z,1,Mads Mikkelson is the goat.,True
@curtisnewton895,2024-03-17T17:10:22Z,0,meh movie with quotes in the trailer,True
@pshkokoye,2024-03-14T21:27:22Z,0,.,True
@i_like_to_move_it_move_it,2024-03-11T22:14:26Z,5,"As a German, whenever I hear Danish i think i understand the first half of the sentence, then the end of the sentence is just blääppüüüüüstööö like whales talking to each other.",True
@timothysibley337,2024-03-11T06:58:02Z,0,Such a good actor.,True
@Georgeos777,2024-03-09T18:54:14Z,1,"till the ground is allegory, ground means adam, tilling is cultivating the souls, working on the soul our whole life, cain the rebellious guy built civilization...",True
@pablochinchilla8382,2024-03-08T20:59:46Z,0,Esta en alguna plataforma,True
@grimdolo918,2024-03-07T00:40:11Z,0,Mads has been one of my favorite actors for a long time. Would love to see him play Doctor Doom. I feel he'd bring the needed gravitas to the character.,True
@davidholland3564,2024-03-01T06:25:48Z,0,👍👍Damn wat a movie. Of course Mads killed it. Jus be careful because it will grab ahold of you and won't let go. Highly recommend yall to check it out,True
@user-el4tq8ge2h,2024-02-29T07:57:50Z,1,sanctities,True
@paulbilling-ross8284,2024-02-29T07:21:10Z,2,This is the best movie I've ever seen.,True
@nabilduval1629,2024-02-28T21:13:41Z,1,Just watched this movie! This is a masterpiece!,True
@user-dr5sr1wl6e,2024-02-28T17:41:53Z,0,He is awesome. I'll watch anything he is in. His facial expressions and his eyes are magical. He can tell a story with one look. Also he is gorgeous. I wish they would cast him as James Bond.,True
@ShahJee101,2024-02-26T17:09:22Z,0,Shufff. I thought mads gonna play an israeli settler role who murders children because God told him to,True
@r3games1985,2024-02-25T08:01:54Z,0,English plz!,True
@JimiJames,2024-02-25T04:30:52Z,0,"Incredible film. The pacing is perfect. Entertaining, fulfilling, has everything you need. My new favorite movie.",True
@polar4182,2024-02-24T13:05:20Z,0,where can i watch this omg,True
@johnmainwaring6556,2024-02-20T22:34:17Z,0,Honestly… Just seen it. Hollywood move over. This film is a belter. Amazing 5/5,True
@handlehandleton,2024-02-20T16:01:33Z,0,I would have never thought to watch danish movies until I watched Another Round because Mads was in it. It feels like I found the hidden cookie jar. A brief refuge from the contrived sociopolitical noir and manchild slop that dominates the US film industry.,True
@michaelsmith3887,2024-02-20T01:53:11Z,0,What language is it in,True
@ThehulkGreen,2024-02-19T01:11:44Z,0,"Dont mess with that geezer, he eats people.",True
@silkq,2024-02-18T16:10:16Z,1,@Youtube  I hope this will be coming for rent/purchase soon!😘,True
@Blackhawk19892,2024-02-17T23:08:47Z,0,"Fantastic movie. Excellent performances and a deeply moving story of perseverance and found family. 

It's been a fantastic year for cinema so far and it's only February.",True
@csabameszaros75,2024-02-17T08:38:12Z,0,nagyon nagy film!Respect!,True
@OwenAlekos-mh7yw,2024-02-16T17:44:58Z,0,"Discord replacement for google drive ""Google Drive Replacement Bot""

Disney co. Entled. 
Dentlive. Dent live.
Drive, danish Gentlemen. Dent's. Dentists. Dent live.

In Mads Mikkelsen’s gritty, gripping Danish period drama The Promised Land, those cliches receive a cosy Scandi upgrade. Cancel the spaghetti: behold the Hygge Western. 
What if mads mikklesen is a Danish Gentleman who did the drive storage networking and faced adversity. Harder work than the USA military president because of stealth and privacy. Regarding insurance being social and not just intelligence.
Promised Neverland... What is a gentleman code and life like in Neverland? Yoga in Neverland... Mental yoga...",True
@juukaa648,2024-02-15T08:52:44Z,0,"Want this, want this!",True
@boardvision11,2024-02-15T06:48:32Z,0,Such a great movie 🎥,True
@dave23024,2024-02-15T03:11:25Z,0,Cliff Unger,True
@varrick1226,2024-02-14T15:21:27Z,0,Flame and Citreon still my favorite Mads film.,True
@steveruss8369,2024-02-14T09:28:00Z,0,Thought this movie was about Helen Clark going by the thumbnail. Looks like a decent movie tho!,True
@Iyforthis,2024-02-14T01:20:41Z,0,"Mars broke my heart when I found out how much he bends over for Jordan Peterson, of all people, but I’m still watching this cuz damn is he still a unique actor",True
@user-db2bz9fu4c,2024-02-13T06:53:51Z,1,"I always keep my eyes peeled for any movie with Mads Mikkelson. He brings so much power and honesty to his characters, that it is always a great experience to see his films.",True
@cryptoking8060,2024-02-13T02:52:33Z,0,When will AI be able to auto translate audio into any language you prefer? Like seriously All the other nonsense AI does this can't be that hard. I hate subtitles so distracting from the movie itself.,True
@manmaje3596,2024-02-13T02:16:42Z,0,Ludvig Van Ginagash,True
@KaBoomChannel,2024-02-13T00:57:24Z,3,"This movie was awesome, it shows exactly how people in the Democrat party treat other people. This whole movie could be a history of the democrat party. Just look at what they are doing to Trump and how they treat Biden by comparison. Anyone disagrees with me? Go F yourself, you damn well know I speak the truth",True
@beachbrettf,2024-02-12T07:39:51Z,0,"Oh look, a movie actually worth watching. Havent come across one of these guys here in America for years.",True
@spikestoyou,2024-02-11T08:19:13Z,0,Finally a decent looking movie,True
@clemdane,2024-02-11T07:07:01Z,0,Mads almost sounded Danish here,True
@Teabagsforlife,2024-02-11T03:55:46Z,0,Is this streaming?,True
@movingmindsetministry,2024-02-11T00:56:24Z,0,"The prophetic checklist is nearly complete for Mystery Babylon—only 1 left!

✔️America is a fallen state, a dwelling place of demons, a prison for every foul spirit, and a cage for every unclean and hated bird (Rev. 18:2).

It is the land locked up with idolatry, iniquity, heresy, lawlessness, deception, and everything in between.

✔️All the nations have drunk of the wine of the wrath of her fornication, the kings of the earth have committed fornication with her, and the merchants of the earth have become rich through the abundance of her luxury.” (Rev. 18:3).

Through government spending, trade, commerce, and exportation, kings of nations who sit as world rulers have lavished in the financial markets of America.

✔️For your merchants were the great men of the earth, for by your sorcery (medicine) all the nations were deceived (Rev. 18:23).

2020 was the climax to ages of deception through prescriptions, creating record profits for the most successful dope dealers in the industry—as the world closed its doors—waiting for the solution from the supposed health experts.

✔️And by the hand of this satanic empire, the blood of Hebrew prophets, the Holy people, and of all who were slain on the earth was shed (Rev. 18:24).

In the name of freedom and the interest of the government, not the people, the US of A and the nations it fornicated with, has and continues to sweep through land after land, spilling the blood of all peoples. 

What remains for the land of the bravely destructive and freedom stealer?

Lastly #5! Then a mighty angel took up a stone like a great millstone and threw it into the sea, saying, “Thus with violence, the great city Babylon will be thrown down, and will NOT be found again.” —Rev. 18:25

A millstone, created in the 5th century BC, is used to grind grain into flour.

The Holy Word declares that this great millstone will land in the sea.

The sea is made up of people, multitudes, nations, and tongues (Rev 17:15).

Within the heart of the peoples in Babylon, with hearts for America, a tremendous stone will dropped, erupting into total violence—leading fornicating nations to follow suit.

Time to come out of Babylon—sin (Rev. 18:4).

#SetApart",True
