author,updated_at,like_count,text,public
@clariceriley489,2024-05-27T21:29:10Z,0,I love movie …. The energy is so intense but lovely,True
@noneofyourbusiness1114,2024-05-27T08:36:46Z,0,Where can I stream this?,True
@twelveoaks1,2024-05-25T04:25:37Z,0,Another brilliant performance by the outstanding French actress Juliette Binoche.  The scenery in the movie looks lovely!,True
@mrsnegrich,2024-05-11T03:30:45Z,0,"Sorry but couldn’t relate to it, maybe because I’m vegetarian 😂.  Good acting by everyone.",True
@String.,2024-05-09T22:45:31Z,0,"I just finished watching the movie. The first part of the movie where all the food is made and served is amazing.  I could never sit down and eat that amount of food, delicious though it looks.  Wonderful movie.",True
@sowo1987,2024-05-08T05:19:05Z,3,“Happiness is continuing to want what we already have”. ❤,True
@user-ij7fg6iw3m,2024-05-08T04:00:23Z,2,"What a beautiful, passionate, philosophical movie. The cinematography is superb. A quiet yet deep movie, no music until the end, makes it feel so real. A must see.",True
@meuestilodevidaoled7193,2024-05-06T16:54:48Z,0,🦅,True
@FrankinDallas,2024-05-05T16:58:51Z,1,"Awesome movie. The kitchen works together making food like it's Beethovens 9th symphony. No car chases, no explosions, just people interacting with each other in a lovely manner.",True
@DrFrankenskippy,2024-05-04T12:32:42Z,0,brilliant film,True
@danhorrell7,2024-05-02T12:30:05Z,1,"Just watched this in an empty theatre , a shame . A movie you could cuddle into and taste every bit . Who knew food could be so romantic . Delicious.",True
@Fuliginosus,2024-04-28T03:34:54Z,0,I watched it on an airplane last week and loved it.,True
@alexsdb9712,2024-04-25T02:15:08Z,10,"Ms. Binoche is not only a French beauty, but she has joined a long list of French beauties who are aging gracefully into another type of female beauty. It's a lesson and reminder to all.",True
@NightimeInDeepSpace,2024-04-17T00:36:57Z,0,just from the trailer this looks like it has good asmr,True
@J-nd6tg,2024-04-15T04:02:04Z,1,What a beautiful movie. I saw this movie on an airplane while flying to India. Only can be made in French.,True
@Fun-uz9fv,2024-04-13T09:18:46Z,2,"Juliette Binoche has aged like fine wine and like Eugenie's favorite wine in the movie, she's the epitome of grace.",True
@captlanc,2024-04-02T16:33:57Z,2,"The ending of this movie is deeply profound. It ties everything together beautifully. I haven't seen such a sublime ending in cinema for years. I encourage anyone to sit through this movie and pay attention to the details. This film is slow and gentle, but you will appreciate it in the end.",True
@melissmich23,2024-03-29T00:49:16Z,0,It's on Apple TV!   Rent or buy.   I just watched it.   It's wonderful.    I have some parts I don't understand but hopefully people will talk about those same moments here.   I don't want to leave any spoilers.,True
@fernandarosa-leeke3131,2024-03-28T12:12:07Z,0,Does this film have a title in French ?,True
@rebeccanascimento8234,2024-03-24T23:41:32Z,1,"This movie sucked me into the most enchanting atmosphere, encompassing my eyes to appreciate the art of gastronomy, cinema, and subtle acting until it moved me to tears at the sight of a dessert. The type of love story that is SO pure, so generous and so beautiful that it makes you feel hopeful. Beautiful ending too. Juliette Binoche is the Ultime dame of French cinema. My God, need to see it again to wash my eyes from the evils of today's world.",True
@RobertSmith-rs1cz,2024-03-23T03:46:58Z,1,can't help but think they're copying Like Water for Chocolate,True
