author,updated_at,like_count,text,public
@Dezil,2024-05-29T23:52:45Z,0,Happy A24 is trying to redeem itself after their propaganda film,True
@rocco...,2024-05-29T22:05:04Z,0,Whoever produced this movie should quit while they're behind. Such a lacklustre effort on such a deep subject. Pretty paltry!,True
@blackterarsblood,2024-05-28T06:34:17Z,0,Sad,True
@TheJoraful,2024-05-27T17:20:56Z,0,Hah. Like jews near the Gaza...,True
@tienglongmy,2024-05-27T14:58:26Z,0,So sick of these people and their constant propaganda.,True
@satoaji,2024-05-26T15:42:01Z,0,Beautiful way of shooting that hides the screen like the masters of old Japanese movies,True
@iceysuhn5503,2024-05-20T23:49:13Z,0,"This movie honestly didn’t need a dialogue. The entire time, the background was doing the storytelling. Bravo.",True
@hakanyilmaz4076,2024-05-16T07:32:07Z,0,"very bad trailer, could be better, i see just one side of him life, in the trailer",True
@hannah9281,2024-05-15T14:32:52Z,0,Can't wait to watch,True
@HoldinContempt,2024-05-14T22:36:15Z,1,"Oh look, poorly filmed, artistically bankrupt atrocity propaganda, Designed to make you forget about the fact that jewish supremacists are ethnically cleansing Palestinians right now in the current year. A24 is literally the Canon Films of our generation and they are making shameless b-movie schlock of similar quality style.",True
@m19petersen,2024-05-14T03:22:08Z,0,00:40 looks like a furnace. Absolutely incredible shot.,True
@user-cj8yr5tq3m,2024-05-13T23:27:06Z,0,"סרט דפוק ומשעמם אכזבה ענקית , הסרט הזה זכה בפרס אוסקר חשבתי שאני הולך לראות משהו מיוחד כנראה שמי שנתן לו פרס היה שיכור או מסומם",True
@davecollins1753,2024-05-13T08:17:34Z,2,Hypocrisy at its finest right now innit,True
@leonmart6719,2024-05-12T11:46:50Z,4,"The film portrays very well what the Zionists are doing with Gaza and Palestinian families.
Zionist Genocide.",True
@highway_to_haven,2024-05-12T09:21:19Z,4,"A film about the same thing that the Nazi state of Israel is doing to the Palestinians in 2024.  The same brutality, the same cruelty.",True
@crescentmoon54,2024-05-12T02:46:50Z,1,Haunting movie... especially seeing it at the end... I walked those same places and have never gotten over it....,True
@ryanburns6284,2024-05-10T22:43:39Z,0,Just about to watch this ….,True
@jimday666,2024-05-10T21:13:24Z,1,Movie was sh!t AF. Don't waste your time. Brilliant my @$$.,True
@amishkeger244,2024-05-07T19:59:38Z,0,If you had to sum up what this movie is about what would you say?,True
@EarthSoulsAstrology,2024-05-06T17:21:07Z,0,Love what the BBC said in the first quote considering that they push their communist agenda on the British public everyday 😂,True
@pavingo,2024-05-05T14:23:49Z,0,Worst movie i have ever seen a movie but strange start a movie with strange ending there is no content in the movie don't waste your time of almost 2 hours on this movie,True
@user-vn7lc5en3c,2024-05-04T14:14:07Z,0,Never saw a movie that was so hard to watch. It is also a movie we need to watch. After this no one will ever forget it.,True
@jannikszymanski4912,2024-05-04T13:46:25Z,0,Der Trailer ist grausam. Welcher Hund hat das denn geschnitten??,True
@davidrhodes7325,2024-05-03T21:25:26Z,0,Not enough diversity and representation for me 😐,True
@Moshenegad,2024-05-03T13:37:51Z,4,"The film defends the Jews in a stupid way. In my opinion, this film is made by the Israel lobby in America",True
@Maximillion666,2024-04-30T04:38:08Z,1,I've watchwatched half of the movies so far and it's one of the most haunting movie I've seen in decades.,True
@HoneyHoops-ig9ws,2024-04-29T22:13:56Z,10,and now those victims have been doing the same to the gazans for decades,True
@The_Rock_That_Floats,2024-04-28T23:48:34Z,6,"These are the scariest farts, with applied reverb, I’ve ever heard..",True
@marinamarthiensen8548,2024-04-28T10:21:30Z,1,Worum geht's?,True
@vishalanthony1529,2024-04-28T03:39:46Z,0,This was more of a review lookup of the critics.,True
@JackJohnson-kl8el,2024-04-28T01:32:19Z,0,Unimpressed…just like with the previous 3 a24 movies,True
@like9614,2024-04-26T17:34:06Z,2,잼있으려나 ㅋㅋ,True
@gardengnome2409,2024-04-26T14:02:02Z,0,Great film. Loved the start of the film. The Camp Comandant taking a horse to work. What a way to commute.,True
@miket9732,2024-04-26T05:42:05Z,2,This movie flat out sucked… what a waste of time,True
@amartinjoe,2024-04-25T21:58:10Z,0,"I avoided any holocaust movies - since it's the ""once you've seen one, you've seen them all' routine - until this one came and I was blown away. The filmmakers brilliantly crafted this masterpiece -  it didn't show any gore - just the sounds - the lead actors were fantastic + the minor details in the narrative (the father towing his 2 kids on a canoe in the river) is such a brilliant  metaphor for Nazis who committed such grave crimes but spared their families from seeing the horror. Amazing amazing movie. The ending is something that will stay with me forever - I've never been to Auschwitz - but those last scenes hit me like a brick wall. Jesus.",True
@riocss3178,2024-04-25T01:24:45Z,0,"Esos planos se ven muy artísticos ❤️, me inspiran a hacer películas",True
@ny0128,2024-04-22T01:21:21Z,0,what a trailer...definitely watch it,True
@4atlanta4,2024-04-21T16:33:22Z,1,This movie sucks,True
@genidoagnelli8409,2024-04-20T16:18:59Z,3,"It doesn't seem to be much different from today's situation near the Gaza Strip, where on one side people are enjoying their swimming pools, and on the other Genocide is in action. 😪",True
@user-on1vi3xu8n,2024-04-20T11:29:14Z,0,Kakva ironija,True
@michaelgreen5749,2024-04-20T08:54:56Z,0,The art sublime,True
@esthermej,2024-04-19T17:52:04Z,0,does anybody know this song?,True
@46metube,2024-04-19T12:12:15Z,1,For all its good intention it failed to create that palpable abstract horror.,True
@arazduhoki225,2024-04-18T21:59:38Z,1,This movie was so different than every ww2 related movies I've seen..I mean the natural soundtrack made me feel more into the atmosphere and deep ..everything about this one was pure perfection..acting ..cinemagraphy..story telling ..performance..it was like watching Live documentary...,True
@EastFame,2024-04-17T15:10:42Z,0,someone forgot to color the Log footage,True
@darbyheavey406,2024-04-17T14:28:23Z,1,Apply this to the Transgender Industrial Complex…follow the money.,True
@user-js2sv1pw2e,2024-04-17T07:14:13Z,2,"As a child, I was scared of ghosts and zombies, but as I grew older, I realized that the scariest things are humans.",True
@yodamaster,2024-04-16T06:18:41Z,0,The trailer doesn't give me any idea about the movie.,True
